台文,台羅,中文,英文
煙腸用烘的較好食。,Ian-tshiâng iōng hang--ê khah hó-tsia̍h.,香腸用烤的比較好吃。,Sausages taste better when grilled.
等戲煞鼓咱來去食宵夜。,Tán hì suah-kóo lán lâi-khì tsia̍h siau-iā.,等戲結束我們就去吃消夜。,"After the show ends, we will go eat supper."
𪜶煞鼓了後就無閣見面。,In suah-kóo liáu-āu tō bô koh kìnn-bīn.,他們分手後就不再見面了。,"After they broke up, they never saw each other again."
鼎底牢一沿煙黗。,Tiánn-té tiâu tsi̍t iân ian-thûn.,鍋底沾了一層煙垢。,The bottom of the pot has a layer of soot.
煞戲了後，我就送你轉去。,"Suah-hì liáu-āu, guá tō sàng lí tńg--khì.",劇終之後，我就送你回去。,"After the play ends, I will take you back."
𪜶兩人已經煞戲矣。,In nn̄g lâng í-king suah-hì--ah.,他們兩人已經分手了。,They have already broken up.
隔壁閣咧煎藥仔矣！,Keh-piah koh teh tsuann io̍h-á--ah!,隔壁又在煎藥了！,The neighbor is brewing medicine again!
若照按呢落去，代誌就毋好矣。,"Nā tsiàu án-ne lo̍h--khì, tāi-tsì tō m̄ hó--ah.",若照這樣下去，事情就不好了。,"If this continues, things will not be good."
你罰款無繳，會予人吊照。,"Lí hua̍t-khuán bô kiáu, ē hōo lâng tiàu tsiàu.",你罰款沒有繳，會被吊銷執照。,"If you don't pay the fine, your license will be revoked."
遮日頭照袂著，誠暗。,"Tsia ji̍t-thâu tsiò bē tio̍h, tsiânn àm.",這裡太陽照不到，真暗。,"Here the sun can't shine, it's really dark."
照鏡,tsiò-kiànn,照鏡子,take a look in the mirror.
煨豬跤,ue ti-kha,煨豬腳,Braised pig's feet.
煨糜,ue muê,熬稀飯,cook porridge.
你真正有夠煩。,Lí tsin-tsiànn ū-kàu huân.,你真的很煩。,You are really annoying.
老爺,lāu-iâ,老爺,lord
萬項代著愛照步來。,Bān-hāng tāi tio̍h-ài tsiàu-pōo-lâi.,一切事項應該要按部就班地處理。,All matters should be handled in an orderly manner.
咱照呼照行，你莫想欲變鬼變怪。,"Lán tsiàu-hoo-tsiàu-kiânn, lí mài siūnn-beh pìnn-kuí-pìnn-kuài.",我們依約行事，你別想搞花樣亂來。,"We will act according to the agreement, don't try to mess around."
你做代誌嘛較照起工咧，莫定定想欲偷食步。,"Lí tsò tāi-tsì mā khah tsiàu-khí-kang--leh, mài tiānn-tiānn siūnn-beh thau-tsia̍h-pōo.",你做事要按部就班，不要常常想著要投機取巧。,"You should do things step by step, and not always think about taking shortcuts."
過年時仔這間店照常營業。,Kuè-nî-sî-á tsit king tiàm tsiàu-siông îng-gia̍p.,過年的時候這間店照常營業。,"During the Chinese New Year, this store operates as usual."
醫生講伊無要緊，你毋免煩惱啦！,"I-sing kóng i bô iàu-kín, lí m̄-bián huân-ló--lah!",醫生說他不要緊，你不用煩惱啦！,"The doctor said it's not serious, you don't need to worry!"
這件代誌你著愛照實講。,Tsit kiānn tāi-tsì lí tio̍h-ài tsiàu-si̍t kóng.,這件事情你得要照實講。,You have to tell the truth about this matter.
照講我按呢做應該無毋著，哪會失敗咧？,"Tsiàu-kóng guá án-ne tsò ing-kai bô m̄-tio̍h, ná ē sit-pāi--leh?",照說我這樣做應該沒錯，怎麼會失敗呢？,"According to what I did, it should be correct. How could it fail?"
出門進前先照鏡，看衫穿有好勢無。,"Tshut-mn̂g tsìn-tsîng sing tsiò-kiànn, khuànn sann tshīng ū hó-sè--bô.",出門之前先照鏡子，看看衣服穿得整不整齊。,"Before going out, first look in the mirror and see if your clothes are neat and tidy."
家己先照鏡看覓咧，才袂卸世眾。,"Ka-kī sing tsiò-kiànn khuànn-māi--leh, tsiah bē sià-sì-tsìng.",自己先反省看看，才不會貽笑大方。,"Reflect on yourself first, so as not to become a laughing stock."
幼囡仔需要爸母全心的照顧。,Iù-gín-á su-iàu pē-bú tsuân-sim ê tsiàu-kòo.,幼兒需要父母親全心的照顧。,Young children need their parents' wholehearted care.
花當紅,hue tng âng,花正紅,The flowers are in full bloom.
我當天咒誓，絕對無騙你。,"Guá tng thinn tsiù-tsuā, tsua̍t-tuì bô phiàn--lí.",我對天發誓，絕對沒騙你。,"I swear to the heavens, I absolutely did not deceive you."
你敢敢當我的面佮伊對指？,Lí kám kánn tng guá ê bīn kah i tuì-tsí?,你敢當著我的面和他對質嗎？,Can you confront him in front of me?
伊提手指去當。,I the̍h tshiú-tsí khì tǹg.,他拿戒指去當。,He took the ring to pawn.
呸痰,phuì thâm,吐痰,Spit.
出痲,tshut muâ,長麻疹,Long measles
痲瘋,muâ-hong,痲瘋,leprosy
玉盞,gio̍k-tsuánn,玉杯,jade cup
酒盞,tsiú-tsuánn,酒杯,Wine glass.
你是對伊按怎？伊哪會一直共你睨？,Lí sī tuì i án-tsuánn? I ná ē it-ti̍t kā lí gîn?,你對他怎麼啦？他怎麼會一直瞪你？,What's wrong with you and him? Why does he keep staring at you?
伊生做矮矮，袂講蓋懸。,"I senn-tsò é-é, bē kóng kài kuân.",他長得矮矮的，不會很高。,He is short and not very tall.
彼个囡仔規身軀攏生痱仔。,Hit ê gín-á kui-sin-khu lóng senn puì-á.,那個小孩子全身都長痱子。,That child has pimples all over his body.
花蓮當地的風景袂䆀，咱另工做伙來去𨑨迌。,"Hua-liân tong-tē ê hong-kíng bē-bái, lán līng-kang tsò-hué lâi-khì tshit-thô.",花蓮當地的風景不錯，我們改天一起去玩。,The scenery in Hualien is nice. Let's go play together another day.
當年恁阿爸做生理趁足濟錢。,Tong-nî lín a-pah tsò-sing-lí thàn tsiok tsē tsînn.,當年你父親做生意時賺很多錢。,"When your father was doing business, he earned a lot of money."
當初遮一片攏是田，這馬攏起樓仔厝矣！,"Tong-tshoo tsia tsi̍t phiàn lóng sī tshân, tsit-má lóng khí lâu-á-tshù--ah!",當初這裡一大片都是農田，現在都蓋起樓房了！,"Originally, this area was all farmland, now it's all covered with buildings!"
我若毋是欠錢，哪著行當店？,"Guá nā m̄ sī khiàm tsînn, ná-tio̍h kiânn tǹg-tiàm?",我要不是缺錢，哪需要走當鋪？,"If I weren't short of money, why would I need to go to a pawnshop?"
伊雖然人生做矮肥矮肥，毋過跤手真扭掠。,"I sui-jiân lâng senn-tsò é-puî-é-puî, m̄-koh kha-tshiú tsin liú-lia̍h.",他雖然長得矮小肥短，不過手腳很敏捷。,"Although he is short and chubby, he is very agile."
我當咧無閒，你莫共我吵。,"Guá tng-teh bô-îng, lí mài kā guá tshá.",我正在忙，你不要吵我。,"I am busy, do not disturb me."
我會當面共物件交予伊。,Guá ē tng-bīn kā mi̍h-kiānn kau hōo--i.,我會當面將東西交給他。,I will hand the things to him in person.
今仔日是我當值。,Kin-á-ji̍t sī guá tong-ti̍t.,今天是我值班。,Today is my shift.
你穿甲遐清涼，毋驚去拄著痴哥？,"Lí tshīng kah hiah tshing-liâng, m̄ kiann khì tú-tio̍h tshi-ko?",你穿得那麼暴露，不怕遇上色狼？,"Youre dressed so revealingly, arent you afraid of encountering a pervert?"
伊真痴哥。,I tsin tshi-ko.,他很好色。,He is very lecherous.
毋知影伊當時才會來。,M̄ tsai-iánn i tang-sî tsiah ē lâi.,不知道他什麼時候才會來。,I don't know when he will come.
當時囡仔攏猶細漢，愛搦屎搦尿。,"Tong-sî gín-á lóng iáu sè-hàn, ài la̍k-sái-la̍k-jiō.",那時候我小孩都還小，需要把屎把尿。,"At that time, my children were still young and needed to have their poop and pee taken care of."
阿麗生做遐妖嬌，真濟人為伊痴迷。,"A-lē senn-tsò hiah iau-kiau, tsin tsē lâng uī i tshi-bê.",阿麗長得那麼妖豔嬌媚，很多人迷戀他。,Ali is so enchanting and charming that many people are infatuated with him.
我共你當做是上好的朋友。,Guá kā lí tòng-tsò sī siōng hó ê pîng-iú.,我把你當做是最好的朋友。,I regard you as my best friend.
伊古意煞予人當做戇呆。,I kóo-ì suah hōo lâng tòng-tsò gōng-tai.,他忠厚老實卻被當成愚蠢。,"He is honest and sincere, but is regarded as foolish."
阿英予伊的痴情感動，尾仔決定欲嫁伊。,"A-ing hōo i ê tshi-tsîng kám-tōng, bué--á kuat-tīng beh kè--i.",阿英被他的痴情感動，最後決定嫁給他。,Ayin was moved by his infatuation and finally decided to marry him.
當票若無去，你的金鍊仔就提袂轉來矣。,"Tǹg-phiò nā bô--khì, lí ê kim-liān-á tō the̍h bē tńg--lâi--ah.",當票如果不見了，你的金項鍊就要不回來了。,"If the pawn ticket is lost, you won't be able to get your gold necklace back."
我當場就佮伊大細聲嚷。,Guá tong-tiûnn tō kah i tuā-sè-siann jiáng.,我當場就跟他大聲的吵起來。,I immediately started arguing with him loudly on the spot.
用心拍拚做生理，久來當然趁大錢。,"Iōng-sim phah-piànn tsò-sing-lí, kú--lâi tong-jiân thàn-tuā-tsînn.",用心努力做生意，時間久了就會賺大錢。,"With heart and effort in doing business, over time, one will earn a lot of money."
恭喜你當選里長。,Kiong-hí lí tòng-suán lí-tiúnn.,恭喜你當選里長。,Congratulations on being elected as the village chief.
當頭白日你就毋通講白賊。,Tng-thâu-pe̍h-ji̍t lí tō m̄-thang kóng-pe̍h-tsha̍t.,光天化日之下你就別說謊了。,"Under the broad daylight, you shouldn't lie."
逐家當頭對面共話講予清楚！,Ta̍k-ke tng-thâu-tuì-bīn kā uē kóng hōo tshing-tshó!,大家面對面把話說清楚！,Let's talk face to face and make things clear!
一門碇,tsi̍t mn̂g tiānn,一個錨,A anchor
一碇金仔,tsi̍t tiānn kim-á,一塊金子,a piece of gold
你毋通傷碌。,Lí m̄-thang siunn li̍k.,你不要太累。,Don't tire yourself out too much.
甌仔摔一下碎去。,Au-á siak tsi̍t-ē tshuì--khì.,杯子摔了一下碎掉了。,The cup fell and broke into pieces.
石碑,tsio̍h-pi,石碑,stone monument
飯碗,pn̄g-uánn,飯碗,rice bowl.
食緊挵破碗,tsia̍h-kín lòng-phuà uánn,吃太快而打破碗，比喻欲速則不達。,"Eating too quickly and breaking the bowl, is a metaphor for haste makes waste."
三碗飯,sann uánn pn̄g,三碗飯,three bowls of rice
我佇路裡碰著伊。,Guá tī lōo--lí pōng-tio̍h i.,我在路上遇到他。,I met him on the road.
我看著兩台車相碰。,Guá khuànn-tio̍h nn̄g tâi tshia sio-pōng.,我看到兩臺車相撞。,I saw two cars collide.
火禁掉,hué kìm-tiāu,把燈關掉或把火熄掉,Turn off the lights or extinguish the fire.
禁止,kìm-tsí,禁止,prohibited
手禁,tshiú-kìm,手剎車,Hand brake.
拍一稜,phah tsi̍t līng,打出一道傷痕,Leave a scar.
稟告,pín-kò,稟告,Report
山窟,suann khut,山穴,Mountain cave.
水窟,tsuí khut,水窪,Mizukubo
酒窟仔,tsiú-khut-á,酒窩,Dimple
兩窟水,nn̄g khut tsuí,兩窟水,Two pits of water.
去提一塊碗公來貯菜頭湯。,Khì the̍h tsi̍t tè uánn-kong lâi té tshài-thâu thng.,去拿一個碗公來盛蘿蔔湯。,Go get a bowl and use it to hold the carrot soup.
塗跤有一个窟仔。,Thôo-kha ū tsi̍t ê khut-á.,地面有一個坑洞。,There is a hole in the ground.
伊這个人禁忌特別濟。,I tsit ê lâng kìm-khī ti̍k-pia̍t tsē.,他這個人禁忌特別多。,He has a lot of taboos.
這隻膨椅已經窞肚矣。,Tsit tsiah phòng-í í-king thām-tóo--ah.,這張沙發已經凹陷下去了。,This sofa has already sunk in.
學泅水進前愛先學禁氣。,O̍h siû-tsuí tsìn-tsîng ài sing o̍h kìm-khuì.,學游泳前要先學憋氣。,"Before learning to swim, you must first learn to hold your breath."
叫你較細膩咧你就無愛，這馬食碰釘矣乎。,"Kiò lí khah sè-jī--leh lí tō bô ài, tsit-má tsia̍h-phòng-ting--ah--honnh.",叫你小心一點你就不要，現在挨罵了吧。,"If I tell you to be careful and you don't listen, now you're getting scolded."
這擺的代誌做了無啥順利，才會去予人碰釘。,"Tsit pái ê tāi-tsì tsò liáu bô siánn sūn-lī, tsiah ē khì hōo lâng phòng-ting.",這次的事情做得不太順利，才會去碰到釘子。,"The thing this time didn't go very smoothly, so we ended up hitting a nail."
你身體無蓋好，有一寡物件著愛較禁喙咧。,"Lí sin-thé bô kài hó, ū tsi̍t-kuá mi̍h-kiānn tio̍h-ài khah kìm-tshuì--leh.",你身體不太好，有一些東西還是要忌口比較好。,"Your body is not very well, there are some things that you still need to avoid eating."
你欲坐碌硞馬無？,Lí beh tsē lo̍k-kho̍k-bé--bô?,你要坐玩具木馬嗎？,Do you want to ride a toy horse?
兩翁仔某冤家，碗盤摔甲碎糊糊。,"Nn̄g ang-á-bóo uan-ke, uánn-puânn siak kah tshuì-kôo-kôo.",夫妻倆吵架，碗盤摔得破碎不堪。,The couple had a fight and the dishes were smashed to pieces.
你驚碰壁毋敢開喙求人，按呢永遠都袂成功。,"Lí kiann pōng-piah m̄ kánn khui-tshuì kiû--lâng, án-ne íng-uán to bē sîng-kong.",你害怕碰一鼻子灰就不敢開口求人，這樣你永遠無法成功。,"You are afraid of being rejected, so you never dare to ask for help, and this way you will never succeed."
你是咧講啥物碗糕？我哪會聽攏無？,Lí sī teh kóng siánn-mih uánn-ko? Guá ná ē thiann lóng bô?,你是在說什麼？我怎麼都聽不懂？,What are you saying? I can't understand anything.
用碗頭仔啉米酒。,Iōng uánn-thâu-á lim bí-tsiú.,用小碗喝米酒。,Drink rice wine with a small bowl.
伊竟然做出這款代誌，實在是禽獸不如。,"I kìng-jiân tsò-tshut tsit khuán tāi-tsì, si̍t-tsāi sī khîm-siù put-jû.",他竟然做出這種事情，真是禽獸不如。,"He actually did such a thing, truly worse than a beast."
水筧,tsuí-kíng,水橋,water bridge
筧水,khiò-tsuí,導水,Lead water
關節,kuan-tsat,骨與骨相銜接的地方,The place where bones are connected to each other.
根節,kin-tsat,根節,Root node.
一節甘蔗,tsi̍t tsat kam-tsià,一節甘蔗,A section of sugarcane.
你開錢愛節一下。,Lí khai-tsînn ài tsat--tsi̍t-ē.,你花錢要節制一下。,You should exercise some restraint when spending money.
年節,nî-tseh,春節前後的數日，或指年中的節日,"The few days before and after the Spring Festival, or referring to the festivals in the middle of the year."
五日節,Gōo-ji̍t-tseh,端午節,Dragon Boat Festival
中秋節,Tiong-tshiu-tseh,中秋節,Mid-Autumn Festival
每逢佳節倍思親,Muí hông ka-tsiat puē su tshin,每逢佳節倍思親,"On every festive occasion, one thinks of their loved ones even more."
一節課,tsi̍t tsiat khò,一節課,one class
節目,tsiat-bo̍k,節目,Program
節約,tsiat-iok,節約,save or economize.
節略,tsiat-lio̍k,節略,concise.
白絹,pe̍h kìn,白絹,White silk
經布,kenn-pòo,織布,weaving fabric.
風吹線經佇電火柱仔頂懸。,Hong-tshue suànn kenn tī tiān-hué-thiāu-á tíng-kuân.,風箏線纏在電線桿上。,The kite string is tangled on the electric pole.
豬仔相經,ti-á sio-kenn,豬交媾,Pig mating.
經書,king-su,經書,classics or scriptures.
誦經,siōng-king,誦經,Reciting scripture.
經脈,king-me̍h,經脈,Meridians.
錢無經我的手。,Tsînn bô king guá ê tshiú.,錢我沒經手。,I did not handle the money.
喙罨,tshuì-am,口罩,face mask
蠓罩,báng-tà,蚊帳,mosquito net.
罩霧,tà-bū,霧氣籠罩,Shrouded in fog
莫罩佇人的身軀。,Mài tà tī lâng ê sin-khu.,別趴在人家身上。,Don't lie on top of someone else.
你按呢做罪真重。,Lí án-ne tsò tsuē tsin tāng.,你這麼做罪很重。,You will be heavily punished for doing this.
犯罪,huān-tsuē,犯罪,Crime
一群人,tsi̍t kûn lâng,一群人,a group of people
孤鳥插人群。,Koo tsiáu tshah lâng-kûn.,比喻人難以融入群體。,"Metaphorically, it means that it is difficult for a person to integrate into a group."
群島,kûn-tó,群島,archipelago.
情義,tsîng-gī,情義,loyalty and righteousness.
正義,tsìng-gī,正義,justice
不義,put-gī,不義,injustice
義工,gī-kang,義工,Volunteer
義賣,gī-bē,義賣,charity sale
意義,ì-gī,意義,meaning
義父,gī-hū,義父,father-in-law
義子,gī-tsú,義子,Yi Zi
開門愛小節力一下，毋通傷大聲。,"Khui-mn̂g ài sió tsat-la̍t--tsi̍t-ē, m̄-thang siunn tuā-siann.",開門要控制一下力道，不要太大聲。,"Open the door and control the force, don't be too loud."
飲食愛節制。,Ím-si̍t ài tsiat-tsè.,飲食要控制。,Control your diet.
節省時間,tsiat-síng sî-kan,節省時間,Save time.
納稅是國民的義務。,La̍p-suè sī kok-bîn ê gī-bū.,繳納稅賦是國民應盡的義務。,Paying taxes is a duty that citizens should fulfill.
伊真𠢕經絲。,I tsin gâu kenn-si.,他很會閒扯。,He is good at chatting.
刣人的罪業真重。,Thâi lâng ê tsuē-gia̍p tsin tāng.,殺人的罪孽很重。,The sin of murder is very heavy.
有囡仔佇身軀邊經跤經手欲哪做有工課？,Ū gín-á tī sin-khu-pinn kenn-kha-kenn-tshiú beh ná tsò ū khang-khuè?,有小孩在旁邊纏手絆腳的哪做得了什麼事？,"What can be done with a child by your side, constantly getting in the way?"
我逐工攏愛對遮經過。,Guá ta̍k-kang lóng ài tuì tsia king-kuè.,我每天都得從這邊經過。,I have to pass by here every day.
經過這擺的車禍，伊這馬出門加足斟酌的。,"King-kuè tsit pái ê tshia-hō, i tsit-má tshut-mn̂g ke tsiok tsim-tsiok--ê.",經過這次的車禍，他現在出門的時候更加小心了。,"After this car accident, he is now more careful when he goes out."
你愛共代誌的經過詳細講予我知。,Lí ài kā tāi-tsì ê king-kuè siông-sè kóng hōo guá tsai.,你要把事情發生的原委詳實的講出來讓我知道。,You need to tell me the detailed process of what happened so that I know.
一屑仔工課做甲艱苦罪過。,Tsi̍t-sut-á khang-khuè tsò kah kan-khóo-tsē-kuà.,一點點工作就做得那麼痛苦。,A little bit of work is done so painfully.
山頂真𠢕罩雺。,Suann-tíng tsin gâu tà-bông.,山上很容易起霧。,It is easy for fog to form on the mountain.
伊的經歷真豐富。,I ê king-li̍k tsin hong-hù.,他的經歷真豐富。,His experience is really rich.
經營事業,king-îng sū-gia̍p,經營事業,manage a business
透早就罩霧，駛車愛細膩。,"Thàu-tsá tō tà-bū, sái-tshia ài sè-jī.",一大早就大霧籠罩，開車要小心。,"Early in the morning, there was heavy fog shrouding, be careful when driving."
我無這款經驗，請你共我指教。,"Guá bô tsit khuán king-giām, tshiánn lí kā guá tsí-kàu.",我沒有這種經驗，請你給我指正教導。,"I don't have this kind of experience, please correct and guide me."
這種代誌我無經驗過。,Tsit tsióng tāi-tsì guá bô king-giām--kuè.,這種事情我沒經驗過。,I have no experience with this kind of thing.
媽祖婆真聖。,Má-tsóo-pô tsin siànn.,媽祖娘娘很靈驗。,Goddess Mazu is very efficacious.
伊的喙真聖，見講見對。,"I ê tshuì tsin siànn, kiàn kóng kiàn tuì.",他這個人的嘴很靈，每說必中。,He has a very clever mouth and always hits the mark when he speaks.
聘請,phìng-tshiánn,聘請,hire or employ.
聘禮,phìng-lé,聘禮,engagement gift.
聘金,phìng-kim,聘金,dowry.
聘書,phìng-su,聘書,letter of appointment.
聘約,phìng-iok,聘約,employment contract.
你的手指頭仔有幾个腡？,Lí ê tshiú-tsíng-thâu-á ū kuí ê lê?,你的手指頭上有幾個螺旋狀指紋？,How many spiral-shaped fingerprints do you have on your fingers?
頭腦,thâu-náu,頭腦,brain.
伊的頭挵著壁，腫一癗。,"I ê thâu lòng-tio̍h piah, tsíng tsi̍t luî.",他的頭撞到牆壁，腫一個包。,He hit his head on the wall and got a swollen bump.
伊的腰真媠。,I ê io tsin suí.,他的腰很漂亮。,His waist is very beautiful.
山腰,suann-io,山腰,mountain waist
你褲穿幾腰？,Lí khòo tshīng kuí io?,你穿多少腰圍的褲子？,What waist size pants do you wear?
胃腸,uī-tn̂g,胃腸,Stomach and intestines.
肚腸,tōo-tn̂g,肚腸,intestines
腹肚疼,pak-tóo thiànn,肚子痛,stomach ache
樹腹,tshiū-pak,樹幹,tree trunk
實腹,tsa̍t-pak,實心的,Solid or dense
阿舅,a-kū,舅舅,Uncle
妻舅,tshe-kū,妻舅,wifes brother or brother-in-law.
兩萬,nn̄g-bān,兩萬,twenty thousand
萬事,bān-sū,萬事,everything or all things.
桌頂的物件落落來矣。,Toh-tíng ê mi̍h-kiānn lak--lo̍h-lâi--ah.,桌上的東西掉下來了。,The thing on the table fell down.
米價咧落。,Bí-kè teh lak.,米價在跌。,The rice price is falling.
伊這擺的考試落幾若名。,I tsit pái ê khó-tshì lak kuí-nā miâ.,他這次的考試名次掉了好幾名。,His ranking in this exam dropped several places.
我的錢毋知落去佗位矣？,Guá ê tsînn m̄ tsai lak-khì tó-uī--ah?,我的錢不知掉到哪裡去了？,"My money, I don't know where it went?"
物件落勾去。,Mi̍h-kiānn làu-kau--khì.,東西遺漏掉。,Left out things.
伊的褲穿甲落落。,I ê khòo tshīng kah làu-làu.,他的褲子穿得都快掉下來了。,His pants are almost falling down.
落桶枋,làu tháng-pang,把桶子的木板卸下來,Take off the wooden boards of the bucket.
我想辦法落伊的話。,Guá siūnn pān-huat làu i ê uē.,我想辦法套他的話。,I'll find a way to coax his words out.
伊逐改佮我講話攏愛落英語。,I ta̍k kái kah guá kóng-uē lóng ài làu Ing-gí.,他每次和我說話都喜歡秀英語。,He likes to show off his English every time he talks to me.
落風,làu-hong,漏風,Leaking wind
落水,làu tsuí,放水,release water
伊食歹腹肚，落甲足嚴重的。,"I tsia̍h pháinn pak-tóo, làu kah tsiok giâm-tiōng--ê.",他吃壞肚子，拉得很嚴重。,He got a stomachache from eating and had a severe case of diarrhea.
伊予人欺負，毋甘願，就轉去落人來報冤。,"I hōo lâng khi-hū, m̄ kam-guān, tō tńg-khì làu-lâng lâi pò-uan.",他被人欺負了，不甘心，就回去糾集人馬前來報仇。,"He was bullied and unwilling, so he went back to gather people and came to seek revenge."
落昨日,loh-tso̍h--ji̍t,大前天,the day before yesterday.
落後日,loh-āu--ji̍t,大後天,the day after tomorrow
落山,lo̍h-suann,下山,go down the mountain
落雨,lo̍h-hōo,下雨,Its raining
落價,lo̍h-kè,降價,price reduction
落南,lo̍h-lâm,南下,heading south
落眠,lo̍h-bîn,睡熟了,fell asleep.
落樹椏,lo̍h tshiū-ue,砍伐歧出的樹枝,Cut down the branches that are blocking the way.
落苦心,lo̍h khóo-sim,下苦心,exert great effort
跋落來,pua̍h--lo̍h-lâi,掉下來,fall down
前落後落,tsîng lo̍h āu lo̍h,房子的前排後排,The front row and back row of the house.
貨欲落佇佗位？,Huè beh lo̍h tī tó-uī?,貨要缷在哪裡？,Where should the goods be unloaded?
落筆,lo̍h pit,下筆,to start writing or to begin writing.
落款,lo̍h khuán,卷末署名,signature at the end of a book.
落數,lo̍h siàu,記入帳簿,Enter in the account book.
落選,lo̍k-suán,落選,failure
落伍,lo̍k-ngóo,落伍,outdated
落䈄甘蔗較袂遐𠕇。,Làu-ham kam-tsià khah bē hiah tīng.,節距較長的甘蔗比較不會那麼硬。,Sugarcane with longer internodes is less likely to be so hard.
萬一伊若知影這件代誌，一定會起性地。,"Bān-it i nā tsai-iánn tsit kiānn tāi-tsì, it-tīng ē khí-sìng-tē.",萬一他知道這件事情，一定會發脾氣的。,"If he finds out about this, he will definitely get angry."
你按呢做會落人的喙。,Lí án-ne tsò ē lo̍h-lâng-ê-tshuì.,你這樣做會遭人批評。,You will be criticized if you do this.
笑甲落下頦,tshiò kah làu-ē-hâi,笑得下巴快掉了,Laughing so hard that my jaw is about to drop.
我聽你咧落下頦，錢明明就是你提的，閣諍無。,"Guá thiann lí teh làu-ē-hâi, tsînn bîng-bîng tō sī lí the̍h--ê, koh tsènn bô.",我聽你在撒謊，錢明明就是你拿的，還辯說沒有。,"I heard you lying. The money was clearly taken by you, yet you still deny it."
豬腹內,ti pak-lāi,豬內臟,Pork offal
你腹內火氣傷大。,Lí pak-lāi hué-khì siunn tuā.,你肚子裡的火氣太大了。,You have too much anger in your stomach.
伊干焦會曉臭彈，其實腹內無膏。,"I kan-na ē-hiáu tshàu-tuānn, kî-si̍t pak-lāi bô ko.",他只會吹牛而已，其實沒有什麼才學。,"He only knows how to brag, in fact, he doesn't have much talent."
物件毋通落勾。,Mi̍h-kiānn m̄-thang làu-kau.,東西不要遺漏。,Do not leave anything behind.
我是萬不得已，才會來拜託你。,"Guá sī bān-put-tik-í, tsiah ē lâi pài-thok--lí.",我是非常不得已，才會來拜託你。,"I am very reluctant, only then will I come to ask for your help."
代誌欲對佗位落手才好？,Tāi-tsì beh tuì tó-uī lo̍h-tshiú tsiah hó?,事情要從那裡著手才好？,What's the best way to start dealing with this matter?
伊落水去掠魚仔。,I lo̍h-tsuí khì lia̍h hî-á.,他下水去抓魚。,He went into the water to catch fish.
咱的貨猶未落水。,Lán ê huè iáu-buē lo̍h-tsuí.,我們的貨還沒堆上船。,Our goods have not yet been loaded onto the ship.
落水平平沉，全無重頭輕。,"Lo̍h-tsuí pênn-pênn tîm, tsuân bô tāng-thâu-khin.",同樣下沉，沒有輕重的分別。比喻兩人或物差異不大，遭遇相同。,"Sinking equally, without any distinction of weight. It is a metaphor for two people or things that are not much different and encounter the same situation."
做歹代誌會萬世袂當超生。,Tsò pháinn tāi-tsì ē bān-sè bē-tàng tshiau-sing.,做壞事會萬世不能超生。,Doing bad things will result in being unable to be reborn for ten thousand generations.
萬代香火,bān-tāi hiunn-hué,萬代香火,Everlasting Incense.
對彼爿落去,tuì hit pîng lo̍h--khì,從那邊下去,Go down from there.
行落去,kiânn--lo̍h-khì,走下去,keep going
吞落去,thun--lo̍h-khì,吞下去,swallow
你莫閣講落去矣。,Lí mài koh kóng--lo̍h-khì--ah.,你別再說下去了。,Stop talking.
萬全的計畫,bān-tsuân ê kè-uē,周全的計畫,comprehensive plan
你的觀念已經落伍矣。,Lí ê kuan-liām í-king lo̍k-ngóo--ah.,你的觀念已經跟不上時代了。,Your ideas are already out of date with the times.
落成典禮,lo̍k-sîng tián-lé,落成典禮,Completion Ceremony.
這副金框的目鏡煞會落色。,Tsit hù kim khing ê ba̍k-kiànn suah ē lak-sik.,這副金邊的眼鏡竟然會掉色。,These gold-rimmed glasses unexpectedly fade.
落尾我就去高雄讀冊。,Lo̍h-bué guá tō khì Ko-hiông tha̍k-tsheh.,後來我就去高雄唸書。,"Later, I went to Kaohsiung to study."
這本冊一千箍無人買，落尾手開七百箍才賣出去。,"Tsit pún tsheh tsi̍t-tshing khoo bô lâng bé, lo̍h-bué-tshiú khui tshit-pah khoo tsiah bē--tshut-khì.",這本書一千元沒人買，最後開價七百元才賣掉。,"This book didn't sell for 1000 yuan, and was finally sold for 700 yuan."
淺腸肚,tshián tn̂g-tōo,思慮淺短,short-sighted.
你無代無誌哪會腹肚疼？,Lí bô-tāi-bô-tsì ná ē pak-tóo thiànn?,你無緣無故怎麼會肚子痛？,How could you have a stomach ache for no reason?
伊腹肚枵咧揣物件食。,I pak-tóo-iau teh tshuē mi̍h-kiānn tsia̍h.,他肚子餓正在找東西吃。,He is hungry and looking for something to eat.
我欲佇臺北車頭落車。,Guá beh tī Tâi-pak tshia-thâu lo̍h-tshia.,我要在臺北車站下車。,I want to get off at Taipei Main Station.
萬事起頭難。,Bān-sū khí-thâu lân.,做任何事情，開始時總是比較困難的。,Doing anything is always more difficult at the beginning.
共物件提落來遮。,Kā mi̍h-kiānn the̍h lo̍h-lâi tsia.,把東西拿下來這裡。,Take the thing down here.
物件囥咧，人落來就好。,"Mi̍h-kiānn khǹg--leh, lâng lo̍h--lâi tō hó.",東西放著，人下來就好。,"The text says: Leave the things where they are, it's fine when people come down."
行落來,kiânn--lo̍h-lâi,走下來,come down
這頁落來就毋免閣看矣。,Tsit ia̍h lo̍h--lâi tō m̄-bián koh khuànn--ah.,這頁以下就不用再看了。,You don't need to read below this page.
