中文,台文,台羅,白話字
很簡單，,誠簡單，,"tsiânn kán-tan,","chiâⁿ kán-tan,"
也陸續有「臺語公共電視台」的討論，,「臺語公共電視台」嘛陸續有咧討論，,"“Tâi-gí kong-kiōng tiān-sī-tâi” mā lio̍k-sio̍k ū teh thó-lūn,","“Tâi-gí kong-kiōng tiān-sī-tâi”mā lio̍k-sio̍k ū teh thó-lūn,"
他爸爸拿著那三百元默默走進房間。,𪜶阿爸提著彼三百箍恬恬仔行入去房間。,in a-pa the̍h-tio̍h hit sann-pah khoo tiām-tiām-á kiânn ji̍p-khì pâng-king.,in a-pa the̍h-tio̍h hit saⁿ-pah kho͘ tiām-tiām-á kiâⁿ ji̍p-khì pâng-keng.
事實上也是安撫社會大眾的心。,事實上嘛是安搭普羅大眾的心。,sū-si̍t-siōng mā sī an-tah phóo-lô tāi-tsiòng ê sim.,sū-si̍t-siōng mā sī an-tah phó͘-lô tāi-chiòng ê sim.
台語文運動新階段：做生意,台語文運動新階段：做生理,Tâi-gí-bûn ūn-tōng sin kai-tuānn: tsò-sing-lí,Tâi-gí-bûn ūn-tōng sin kai-tōaⁿ:chò-seng-lí
我來叫一個「起司蛋糕加檸檬皮」，,我來叫一个「tshì-suh雞卵糕參檸檬皮」，,"Guá lâi kiò tsi̍t ê “tshì-suh ke-nn̄g-ko tsham lê-bóng-phuê”,","Góa lâi kiò chi̍t ê“chhì-suh ke-nn̄g-ko chham lê-bóng-phôe”,"
我家的電話號碼是零七二零七六一零四,阮兜的電話號碼是空七二空七六一空四,guán tau ê tiān-uē hō-bé sī khòng tshit jī khòng tshit lio̍k it khòng sù,goán tau ê tiān-ōe hō-bé sī khòng chhit jī khòng chhit lio̍k it khòng sù
那間店，布的色彩有限，,彼間店，布的色緻有限，,"hit king tiàm, pòo ê sik-tī iú-hān,","hit keng tiàm,pò͘ ê sek-tī iú-hān,"
手機的台語輸入法在IOS系統只有羅漢跤臺語輸入法。,手機仔的臺語輸入法佇 IOS系統干焦有羅漢跤臺語輸入法。,tshiú-ki-á ê Tâi-gí su-ji̍p-huat tī IOS hē-thóng kan-na ū lô-hàn-kha Tâi-gí su-ji̍p-huat.,chhiú-ki-á ê Tâi-gí su-ji̍p-hoat tī IOS hē-thóng kan-na ū lô-hàn-kha Tâi-gí su-ji̍p-hoat.
淑珠笑著回應。,淑珠笑笑仔回應。,Siok-tsu tshiò-tshiò-á huê-ìng.,Siok-chu chhiò-chhiò-á hôe-èng.
要用第一份文件。,欲用頭一份的字紙。,berh īng thâu tsi̍t hūn ê lī-tsuá.,berh ēng thâu chi̍t hūn ê lī-chóa.
當初爸爸這麼說，,當初爸爸按呢講，,"tong-tshoo pa-pa án-ne kóng,","tong-chho͘ pa-pa án-ne kóng,"
你吃那麼少，有吃飽嗎？,你食遐爾少，敢食有飽？,"Lí tsia̍h hiah-nī tsió, kám tsia̍h ū pá?","Lí chia̍h hiah-nī chió,kám chia̍h ū pá?"
彎腰在前院整理破銅爛鐵跟筆記本。,向腰佇門口埕咧款歹銅舊錫佮簿仔紙。,ànn-io tī mn̂g-kháu-tiânn leh khuán pháinn-tâng-kū-siah kah phōo-á-tsuá.,àⁿ-io tī mn̂g-kháu-tiâⁿ leh khoán pháiⁿ-tâng-kū-siah kah phō͘-á-chóa.
之後再換大同國小的學生來田中央玩。,後來才換大同國小的學生來田中央𨑨迌。,āu--lâi tsiah uānn Tāi-tông kok-sió ê ha̍k-sing lâi tshân-tiong-ng tshit-thô.,āu--lâi chiah ōaⁿ Tāi-tông kok-sió ê ha̍k-seng lâi chhân-tiong-ng chhit-thô.
總共兩百零三元，找你九十七元,"攏總兩百零三箍,找你九十七箍","lóng-tsóng nn̄g-pah khòng sann khoo, tsāu lí káu-tsa̍p tshit khoo","lóng-chóng nn̄g-pah khòng saⁿ kho͘,chāu lí káu-cha̍p chhit kho͘"
直接開創戰後的台語文學運動。,直接開創戰後的台語文學運動。,ti̍t-tsiap khai-tshòng tsiàn-āu ê Tâi-gí bûn-ha̍k ūn-tōng.,ti̍t-chiap khai-chhòng chiàn-āu ê Tâi-gí bûn-ha̍k ūn-tōng.
是給下水前的人舀水淋在身上，,是予欲落水進前的人戽水備身，,"sī hōo beh lo̍h-tsuí tsìn-tsîng ê lâng hòo-tsuí pī sin,","sī hō͘ beh lo̍h-chúi chìn-chêng ê lâng hò͘-chúi pī sin,"
是，不過那兩個是英國人。,是，毋過彼兩个是英國人。,"Sī, m̄-koh hit nn̄g ê sī Ing-kok-lâng.","Sī,m̄-koh hit nn̄g ê sī Eng-kok-lâng."
肚子也還是飽飽的，,腹肚嘛猶飽tong-tong，,"pak-tóo mā iáu pá-tong-tong,","pak-tó͘ mā iáu pá-tong-tong,"
「小孩子拿那麼多錢幹嘛？」,「囡仔人提遐濟錢欲創啥物？」,“Gín-á-lâng the̍h hiah tsuē tsînn berh tshòng siánn-mih?”,“Gín-á-lâng the̍h hiah chōe chîⁿ berh chhòng siáⁿ-mih?”
就是「二二八小屠殺」，,就是「二二八小屠殺」，,"tō sī “Jī-jī-pat sió tôo-sat”,","tō sī“Jī-jī-pat sió tô͘-sat”,"
鄉下人一定沒有我們都市人這麼聰明。,庄跤人一定無咱都市人遐巧。,tsng-kha-lâng it-tīng bô lán too-tshī-lâng hiah khiáu.,chng-kha-lâng it-tēng bô lán to͘-chhī-lâng hiah khiáu.
「城鄉交流」可以讓孩子學到不同的知識經驗，,「城鄉交流」會當予囡仔學著無仝的智識經驗，,"“siânn-hiong kau-liû” ē-tàng hōo gín-á o̍h-tio̍h bô kâng ê tì-sik king-giām,","“siâⁿ-hiong kau-liû”ē-tàng hō͘ gín-á o̍h-tio̍h bô kâng ê tì-sek keng-giām,"
雨早就停了。,雨早就斷點。,hōo tsá tō tn̄g tiám.,hō͘ chá tō tn̄g tiám.
邊喊邊跑出去找好朋友。,那喝那走出去揣好朋友。,ná huah ná tsáu tshut-khì tshuē hó pîng-iú.,ná hoah ná cháu chhut-khì chhōe hó pêng-iú.
一邊大喊一邊跑出去找好朋友。,那喝那走出去揣好朋友。,ná huah ná tsáu tshut-khì tshuē hó pîng-iú.,ná hoah ná cháu chhut-khì chhōe hó pêng-iú.
一九八零年的夏天，中正紀念堂正式開放，,一九八空年的熱天，中正紀念堂正式開放，,"It kiú pat khòng nî ê jua̍h-thinn, Tiong-tsìng Kì-liām-tn̂g tsìng-sik khai-hòng,","It kiú pat khòng nî ê joa̍h-thiⁿ,Tiong-chèng Kì-liām-tn̂g chèng-sek khai-hòng,"
羨慕啊。,欣羨呢。,him-siān--neh.,him-siān--neh.
有普渡跟盂蘭盆會的宗教儀式，,有普渡佮盂蘭盆會的宗教儀式，,"ū phóo-tōo kah Û-lân-phûn-huē ê tsong-kàu gî-sik,","ū phó͘-tō͘ kah Û-lân-phûn-hōe ê chong-kàu gî-sek,"
緩緩地起身，,寬寬仔𬦰起身，,"khuann-khuann-á peh khí-sin,","khoaⁿ-khoaⁿ-á peh khí-sin,"
「在家裡用臉盆接五六分滿的水，,「佇厝內用面桶承五六分水，,"“tī tshù-lāi iōng bīn-tháng sîn gōo la̍k hun tsuí,","“tī chhù-lāi iōng bīn-tháng sîn gō͘ la̍k hun chúi,"
他挑東西的速度不慢，,伊咧揀物件的跤手無慢，,"I leh kíng mi̍h-kiānn ê kha-tshiú bô bān,","I leh kéng mi̍h-kiāⁿ ê kha-chhiú bô bān,"
這是全世界新文學追求的通例，,這是全世界新文學追求的通例，,"tse sī tsuân sè-kài sin bûn-ha̍k tui-kiû ê thong-lē,","che sī choân sè-kài sin bûn-ha̍k tui-kiû ê thong-lē,"
再來是競爭：,閣來是競爭：,Koh lâi sī kīng-tsing:,Koh lâi sī kēng-cheng:
阿生怎麼想都想不通。,阿生按怎想都想無。,A-sing án-tsuánn siūnn to siūnn-bô.,A-seng án-chóaⁿ siūⁿ to siūⁿ-bô.
老身在這裡跟你道歉。,老身的踮遮共你會失禮。,lāu-sin--ê tiàm tsia kā lí huē-sit-lé.,lāu-sin--ê tiàm chia kā lí hōe-sit-lé.
再來是競爭：,閣來是競爭：,Koh lâi sī kīng-tsing:,Koh lâi sī kēng-cheng:
我的護照號碼是一八二二二八八一九,我的護照號碼是一八二二二八八一九,guá ê hōo-tsiàu hō-bé sī it pat jī jī jī pat pat it kiú,góa ê hō͘-chiàu hō-bé sī it pat jī jī jī pat pat it kiú
自然就有好名聲！,自然就會有好名聲！,tsū-liân tō ē ū hó miâ-siann!,chū-liân tō ē ū hó miâ-siaⁿ!
要幹嘛？,欲創啥？,beh tshòng siánn?,beh chhòng siáⁿ?
要讀國中的，就不用掃廁所；,欲讀國中的，就毋免掃便所；,"Beh tha̍k kok-tiong--ê, tō m̄-bián sàu piān-sóo;","Beh tha̍k kok-tiong--ê,tō m̄-bián sàu piān-só͘;"
愈多人做就愈有競爭，,愈濟人做就愈有競爭，,"jú tsē lâng tsò tō jú ū kīng-tsing,","jú chē lâng chò tō jú ū kēng-cheng,"
喝幾口茶。,哈幾喙仔茶。,ha kuí-tshuì-á tê.,ha kúi-chhùi-á tê.
所以來這都是來看、來學跟游泳有關，,所以來遮攏是來看、來學佮泅水有關，,"sóo-í lâi tsia lóng-sī lâi khuànn, lâi o̍h kah siû-tsuí ū-kuan,","só͘-í lâi chia lóng-sī lâi khòaⁿ,lâi o̍h kah siû-chúi ū-koan,"
很怕他生氣，就很小聲地回話，,真驚伊受氣，就齊細聲應話，,"tsin kiann i siū-khì, tō tsiâu sè-siann ìn-uē,","chin kiaⁿ i siū-khì,tō chiâu sè-siaⁿ ìn-ōe,"
他會邀我去鶯歌看瓷器，,伊會招我去鶯歌看瓷仔，,"i ē tsio guá khì Ing-ko khuànn huî-á,","i ē chio góa khì Eng-ko khòaⁿ hûi-á,"
你們有電腦嗎？,恁敢有電腦？,lín kám ū tiān-náu?,lín kám ū tiān-náu?
今天是九月初一，禮拜一,今仔日是九月初一，拜一,"kin-á-li̍t sī káu-gue̍h tshe-it, pài-it","kin-á-li̍t sī káu-goe̍h chhe-it,pài-it"
興致勃勃的，,興tshuh-tshuh，,"hìng-tshuh-tshuh,","hèng-chhuh-chhuh,"
這幾天國民黨正認真舉行蔣經國去世三十週年的紀念會。,這幾日仔國民黨認真咧舉行蔣經國死--去三十週年的紀念會。,Tsit kuí-ji̍t-á Kok-bîn-tóng jīn-tsin teh kí-hîng Tsiúnn King-kok sí--khì sann-tsa̍p tsiu-nî ê kì-liām-huē.,Chit kúi-ji̍t-á Kok-bîn-tóng jīn-chin teh kí-hêng Chiúⁿ Keng-kok sí--khì saⁿ-cha̍p chiu-nî ê kì-liām-hōe.
不過我看這幾個出席的國民黨前後任黨主席，,毋過我看這幾个出席的國民黨前後任黨主席，,"M̄-koh guá khuànn tsit kuí ê tshut-si̍k ê Kok-bîn-tóng tsîng-āu jīm tóng-tsú-si̍k,","M̄-koh góa khòaⁿ chit kúi ê chhut-se̍k ê Kok-bîn-tóng chêng-āu jīm tóng-chú-se̍k,"
但是，爸爸媽媽不准我去水圳那邊玩水，,毋過，爸爸媽媽不准阮去圳溝遐耍水，,"m̄-koh, pa-pa ma-ma put-tsún gún khì tsùn-kau hia sńg-tsuí,","m̄-koh,pa-pa ma-ma put-chún gún khì chùn-kau hia sńg-chúi,"
他爸爸大聲地問。,𪜶阿爸大聲問。,in a-pâ tuā-siann mn̄g.,in a-pâ tōa-siaⁿ mn̄g.
剛剛在擺放的時候，,頭拄才咧囥的時，,"Thâu-tú-tsiah teh khǹg ê sî,","Thâu-tú-chiah teh khǹg ê sî,"
要去工廠賺錢的？請舉手。」,欲去工場趁錢--的？請攑手。」,beh khì kang-tiûnn thàn-tsînn--ê? Tshiánn gia̍h-tshiú.”,beh khì kang-tiûⁿ thàn-chîⁿ--ê?Chhiáⁿ gia̍h-chhiú.”
那麼那邊的小孩可能沒見過什麼世面喔，,啊in遐的囡仔可能真倯喔，,"ah in hia-ê gín-á khó-lîng tsin sông--ooh,","ah in hia-ê gín-á khó-lêng chin sông--o͘h,"
還讓我們學習親情相連跟尊重哥哥姊姊的教育，,閣予阮學習親情相連佮尊重兄姊的教育，,"koh hōo gún ha̍k-si̍p tshin-tsiânn sann-liâm kah tsun-tiōng hiann-tsé ê kàu-io̍k,","koh hō͘ gún ha̍k-si̍p chhin-chiâⁿ saⁿ-liâm kah chun-tiōng hiaⁿ-ché ê kàu-io̍k,"
過了一會兒，才開口說：,過一觸久仔，才開喙講：,"kuè tsi̍t-tak-kú-á, tsiah khui-tshuì kóng:","kòe chi̍t-tak-kú-á,chiah khui-chhùi kóng:"
還被中國人這樣子糟蹋，,猶閣予中國人按呢共伊蹧躂，,"iáu-koh hōo Tiong-kok-lâng án-ne kā i tsau-that,","iáu-koh hō͘ Tiong-kok-lâng án-ne kā i chau-that,"
非常成功。,非常成功。,hui-siông sîng-kong.,hui-siông sêng-kong.
聽說因為要選臺北市的市長，,聽講因為欲選臺北市的市長，,"thiann-kóng in-uī beh suán Tâi-pak-tshī ê tshī-tiúnn,","thiaⁿ-kóng in-ūi beh soán Tâi-pak-chhī ê chhī-tiúⁿ,"
將口語跟寫作語合一，,共口語佮書面語合一，,"kā kháu-gí kah su-bīn-gí ha̍p-it,","kā kháu-gí kah su-bīn-gí ha̍p-it,"
才能夠決定。,才有通來決定。,tsiah ū thang lâi kuat-tīng.,chiah ū thang lâi koat-tēng.
彎腰在前院整理破銅爛鐵跟筆記本。,向腰佇門口埕咧款歹銅舊錫佮簿仔紙。,ànn-io tī mn̂g-kháu-tiânn leh khuán pháinn-tâng-kū-siah kah phōo-á-tsuá.,àⁿ-io tī mn̂g-kháu-tiâⁿ leh khoán pháiⁿ-tâng-kū-siah kah phō͘-á-chóa.
市公所後面的游泳池是日本人留下來的，,市公所後面的泅水池是日本人留落來的，,"tshī-kong-sóo āu-bīn ê siû-tsuí-tî sī Ji̍t-pún-lâng lâu--lo̍h-lâi--ê,","chhī-kong-só͘ āu-bīn ê siû-chúi-tî sī Ji̍t-pún-lâng lâu--lo̍h-lâi--ê,"
有夠好吃，,有夠好食，,"ū-kàu hó-tsia̍h,","ū-kàu hó-chia̍h,"
有爸爸為我套游泳圈戲水的印象；,有爸爸共我箍樹奶箍拍滂泅的印象；,ū pa-pa kā guá khoo tshiū-ling-khoo phah-phōng-siû ê ìn-sióng;,ū pa-pa kā góa kho͘ chhiū-leng-kho͘ phah-phōng-siû ê ìn-sióng;
礁溪龍潭游泳池是符合國際標準的，,礁溪龍潭游泳池是國際標準型--的，,"Ta-khe Liông-thâm iû-íng-tî sī kok-tsè piau-tsún-hîng--ê,","Ta-khe Liông-thâm iû-éng-tî sī kok-chè piau-chún-hêng--ê,"
用母語創作，,用母語創作，,"iōng bó-gí tshòng-tsok,","iōng bó-gí chhòng-chok,"
七月半拜拜一直都是我懷想親人的日子。,七月半拜拜一直攏是我懷想親人的日子。,tshit-gue̍h-puànn pài-pài it-ti̍t lóng sī guá huâi-siūnn tshin-lâng ê li̍t-tsí.,chhit-goe̍h-pòaⁿ pài-pài it-ti̍t lóng sī góa hoâi-siūⁿ chhin-lâng ê li̍t-chí.
我們用簡單的素牲醴盤、水果盤、大麵、泡麵、罐頭、鹹餅、啤酒拜，,阮用簡單的素牲醴盤、果子盤、大麵、泡麵、罐頭、鹹餅、bì-lù拜，,"gún iōng kán-tan ê sòo sing-lé puânn, kué-tsí puânn, tuā-mī, phàu-mī, kuàn-thâu, kiâm piánn, bih-luh pài,","gún iōng kán-tan ê sò͘ seng-lé pôaⁿ,kóe-chí pôaⁿ,tōa-mī,phàu-mī,koàn-thâu,kiâm piáⁿ,bih-luh pài,"
寬二十五米、長五十米、深九十公分到三米，,闊二十五米、長五十米、深九十公分到三米，,"khuah jī-tsa̍p gōo bí, tn̂g gōo-tsa̍p bí, tshim káu-tsa̍p kong-hun kàu sann bí,","khoah jī-cha̍p gō͘ bí,tn̂g gō͘-cha̍p bí,chhim káu-cha̍p kong-hun kàu saⁿ bí,"
我在電視上看到這個畫面，,我佇電視頂看著這个畫面，,"guá tī tiān-sī-tíng khuànn-tio̍h tsit ê uē-bīn,","góa tī tiān-sī-téng khòaⁿ-tio̍h chit ê ōe-bīn,"
媽媽就會叫我們趕快幫忙準備泳衣、泳褲、麵包、冷水、水壺、水果……,媽媽就會叫阮緊鬥攢游泳衫、游泳褲、俗麭、冷滾水、sui̋-tóo、果子……,"ma-ma tio̍h ē kiò guán kín tàu tshuân iû-íng-sann, iû-íng khòo, sio̍k-pháng, líng kún-tsuí, sui̋-tóo, kué-tsí...","ma-ma tio̍h ē kiò goán kín tàu chhoân iû-éng-saⁿ,iû-éng khò͘,sio̍k-pháng,léng kún-chúi,sŭi-tó͘,kóe-chí..."
有點太簡單了。,就傷過頭較簡單寡。,tiō siunn kèr-thâu khah kán-tan--kuá.,tiō siuⁿ kèr-thâu khah kán-tan--kóa.
很多地方在淹水，,足濟所在咧淹水，,"tsiok tsē sóo-tsāi leh im-tsuí,","chiok chē só͘-chāi leh im-chúi,"
非常成功。,非常成功。,hui-siông sîng-kong.,hui-siông sêng-kong.
怎麼配色、尺寸要裁多大，,按怎配色、寸尺欲裁偌大，,"Án-tsuánn phuè-sik, tshùn-tshioh beh tshâi juā tuā,","Án-chóaⁿ phòe-sek,chhùn-chhioh beh chhâi jōa tōa,"
記憶裡，,記持中，,"kì-tî-tiong,","kì-tî-tiong,"
是記憶中那個人對我的影響，,是記持中彼个人對我的影響，,"sī kì-tî-tiong hit ê lâng tuì guá ê íng-hióng,","sī kì-tî-tiong hit ê lâng tùi góa ê éng-hióng,"
我只有喝珍珠奶茶而已。,我干焦有咧啉粉圓奶茶爾̋.,Guá kan-na ū leh lim hún-înn-ling-tê nia̋.,Góa kan-na ū leh lim hún-îⁿ-leng-tê niă.
有品質又有競爭，,有品質閣有競爭，,"ū phín-tsit koh ū kīng-tsing,","ū phín-chit koh ū kēng-cheng,"
還有控制要放幾塊，,閣有控制著囥幾塊，,"koh ū khòng-tsè-tio̍h khǹg kuí tè,","koh ū khòng-chè-tio̍h khǹg kúi tè,"
他把文鐘家裡的地址抄在記事本上。,伊共文鐘in兜的地址抄踮手指簿仔。,i kā Bûn-tsing in tau ê tē-tsí tshau tiàm tshiú-tsí-phōo-á.,i kā Bûn-cheng in tau ê tē-chí chhau tiàm chhiú-chí-phō͘-á.
接下來看宜蘭縣明天二號的天氣,紲落來看宜蘭縣明仔載二號的天氣,suà--lo̍h-lâi khuànn Gî-lân-kuān bîn-á-tsài jī hō ê thinn-khì,sòa--lo̍h-lâi khòaⁿ Gî-lân-koān bîn-á-chài jī hō ê thiⁿ-khì
也有當立委的，,嘛有做立委的，,"mā ū tsò li̍p-uí--ê,","mā ū chò li̍p-úi--ê,"
看他爸爸都沒說話，很怕他不答應。,看𪜶阿爸攏無講話，真驚伊毋答應。,"khuànn in a-pah lóng bô kóng-uē, tsin kiann i m̄ tah-ìng.","khòaⁿ in a-pah lóng bô kóng-ōe,chin kiaⁿ i m̄ tah-èng."
說來也奇怪，兩人一起踏入店門，,講也奇怪，雙人同齊踏入店門，,"kóng ā kî-kuài, siang-lâng tâng-tsê ta̍h-ji̍p tiàm-mn̂g,","kóng ā kî-koài,siang-lâng tâng-chê ta̍h-ji̍p tiàm-mn̂g,"
老闆，我要糖醋排骨。,頭家，我愛糖醋排骨。,"Thâu-ke, guá ài thn̂g-tshòo-pâi-kut.","Thâu-ke,góa ài thn̂g-chhò͘-pâi-kut."
寬二十五米、長五十米、深九十公分到三米，,闊二十五米、長五十米、深九十公分到三米，,"khuah jī gōo bí, tn̂g gōo-tsa̍p bí, tshim káu-tsa̍p kong-hun kàu sann bí,","khoah jī gō͘ bí,tn̂g gō͘-cha̍p bí,chhim káu-cha̍p kong-hun kàu saⁿ bí,"
還讓我們學習親情相連跟尊重哥哥姊姊的教育，,閣予阮學習親情相連佮尊重兄姊的教育，,"koh hōo gún ha̍k-si̍p tshin-tsiânn sann-liâm kah tsun-tiōng hiann-tsé ê kàu-io̍k,","koh hō͘ gún ha̍k-si̍p chhin-chiâⁿ saⁿ-liâm kah chun-tiōng hiaⁿ-ché ê kàu-io̍k,"
顧及語言的「聽、說、讀、寫」這四種基本能力，,照顧著語言的「聽、講、讀、寫」這四種基本能力，,"tsiàu-kòo-tio̍h gí-giân ê “thiann, kóng, tha̍k, siá” tsit sì tsióng ki-pún lîng-li̍k,","chiàu-kò͘-tio̍h gí-giân ê“thiaⁿ,kóng,tha̍k,siá”chit sì chióng ki-pún lêng-le̍k,"
這個作品看了心會靜，,這項作品看了心會靜，,"tsit hāng tsok-phín khuànn liáu sim ē tsīng,","chit hāng chok-phín khòaⁿ liáu sim ē chēng,"
「當臉浸在水裡超過二十的時候……」,「面佇水裡當擋過二十的時……」,“bīn tī tsuí--lí tng tòng kuè jī-tsa̍p ê sî...”,“bīn tī chúi--lí tng tòng kòe jī-cha̍p ê sî...”
為了投奔曹操，,為著欲投奔曹操，,"uī-tio̍h beh tâu-phun Tsô Tshò,","ūi-tio̍h beh tâu-phun Chô Chhò,"
他不聲不響馬上跑得不見人影,伊無講無呾隨走甲無看人影。,i bô-kóng-bô-tànn suî tsáu kah bô khuànn lâng-iánn.,i bô-kóng-bô-tàⁿ sûi cháu kah bô khòaⁿ lâng-iáⁿ.
誰知道，新的蔣總統要登基，,哪會知，新的蔣總統欲登基，,"ná ē tsai, sin ê Tsiúnn tsóng-thóng berh ting-ki,","ná ē chai,sin ê Chiúⁿ chóng-thóng berh teng-ki,"
真的一覺到天亮。,有影一暝到天光。,ū-iánn tsi̍t mî kàu thinn-kng.,ū-iáⁿ chi̍t mî kàu thiⁿ-kng.
是因為思念父母！,是因為思念爸母！,sī in-uī su-liām pē-bú!,sī in-ūi su-liām pē-bú!
只等候孩子們去撿柴燒火，,干焦聽候囡仔抾柴燃火，,"kan-tann thìng-hāu gín-á khioh-tshâ hiânn-hué,","kan-taⁿ thèng-hāu gín-á khioh-chhâ hiâⁿ-hóe,"
說出「臺語文出頭天！」,講「臺語文出頭天！」,kóng “Tâi-gír-bûn tshut-thâu-thinn!”,kóng“Tâi-gír-bûn chhut-thâu-thiⁿ!”
從而形成良性循環，,按呢造成良性循環，,"án-ne tsō-sîng liông-sìng sûn-khuân,","án-ne chō-sêng liông-sèng sûn-khoân,"
作者：林漢森,作者：林漢森,tsok-tsiá: Lîm Hàn-sim,chok-chiá:Lîm Hàn-sim
有舉手的就去掃廁所，掃到畢業。」,有攑手的就去掃便所，掃到出業。」,"ū gia̍h-tshiú--ê tō khì sàu piān-sóo, sàu kàu tshut-gia̍p.”","ū gia̍h-chhiú--ê tō khì sàu piān-só͘,sàu kàu chhut-gia̍p.”"
鼓勵台文寫作，,鼓勵台文寫作，,"kóo-lē Tâi-bûn siá-tsok,","kó͘-lē Tâi-bûn siá-chok,"
他發動摩托車，,伊發動oo-tóo-bái，,"i huat-tōng oo-tóo-bái,","i hoat-tōng o͘-tó͘-bái,"
他們是永遠不會當上黨主席的，,𪜶是永遠袂當做主席--的，,"in sī íng-uán bē-tàng tsò tsú-si̍k--ê,","in sī éng-oán bē-tàng chò chú-se̍k--ê,"
那條巷子彎彎曲曲、陰森森的，,彼條巷仔彎彎斡斡、暗毿暗毿，,"hit tiâu hāng-á uan-uan-uat-uat, àm-sàm àm-sàm,","hit tiâu hāng-á oan-oan-oat-oat,àm-sàm àm-sàm,"
糯米、鼠麴草、印模、粿巾都排好在活動場所展覽，,秫米、鼠麴仔、粿印、粿巾攏排排佇活動場所展覽，,"tsu̍t-bí, tshí-khak-á, kué-ìn, kué-kin lóng pâi-pâi tī ua̍h-tāng tiûnn-sóo tián-lám,","chu̍t-bí,chhí-khak-á,kóe-ìn,kóe-kin lóng pâi-pâi tī oa̍h-tāng tiûⁿ-só͘ tián-lám,"
幸好！過了一會，,好佳哉！過一觸久仔，,"Hó-ka-tsài! Kèr tsi̍t-tak-kú-á,","Hó-ka-chài!Kèr chi̍t-tak-kú-á,"
在廣場的儀式中有這樣一段插曲：,佇廣場的儀式中有一段按呢的齣頭：,tī kóng-tiûnn ê gî-sik-tiong ū tsi̍t tuānn án-ne ê tshut-thâu:,tī kóng-tiûⁿ ê gî-sek-tiong ū chi̍t tōaⁿ án-ne ê chhut-thâu:
你們有電腦嗎？,恁敢有電腦？,lín kám ū tiān-náu?,lín kám ū tiān-náu?
肚子也還是飽飽的，,腹肚嘛猶飽tong-tong，,"pak-tóo mā iáu pá-tong-tong,","pak-tó͘ mā iáu pá-tong-tong,"
「哇！我可以去上學了！」,「Ua̋!我會當去讀冊矣！」,“Ua̋! Guá ē-tàng khì tha̍k-tsheh--ah!”,“Ŏa!Góa ē-tàng khì tha̍k-chheh--ah!”
很少有人不喜歡。,罕咧有人無佮意。,hán leh ū lâng bô kah-ì.,hán leh ū lâng bô kah-ì.
劉老師，你知道這本書多少錢嗎？,劉老師，你知影這本冊偌濟錢無？,"Lâu lāu-su, lí tsai-iánn tsit pún tsheh luā-tsē tsînn--bô?","Lâu lāu-su,lí chai-iáⁿ chit pún chheh lōa-chē chîⁿ--bô?"
啊學校不就是蓋在「田地的中間」？,啊學校毋起佇「田地的中央」？,ah ha̍k-hāu m̄ khí tī “tshân-tē ê tiong-ng”?,ah ha̍k-hāu m̄ khí tī“chhân-tē ê tiong-ng”?
鄉下人一定沒有我們都市人這麼聰明。,庄跤人一定無咱都市人遐巧。,tsng-kha-lâng it-tīng bô lán too-tshī-lâng hiah khiáu.,chng-kha-lâng it-tēng bô lán to͘-chhī-lâng hiah khiáu.
我只喝珍珠奶茶。,我干焦有咧啉粉圓奶茶爾爾。,Guá kan-na ū leh lim hún-înn-ling-tê nia̋.,Góa kan-na ū leh lim hún-îⁿ-leng-tê niă.
三百元幫忙貼補家用，三百元給我，好不好？」,三百箍鬥相添厝裡，三百箍予我，好無？」,"Sann-pah khoo tàu sio-thinn tshù--lí, sann-pah khoo hōo--guá, hó--bô?”","Saⁿ-pah kho͘ tàu sio-thiⁿ chhù--lí,saⁿ-pah kho͘ hō͘--góa,hó--bô?”"
還有不同顏色的分水道線。,閣有無仝的色水分水道線。,koh ū bô kâng ê sik-tsuí hun-tsuí-tō suànn.,koh ū bô kâng ê sek-chúi hun-chúi-tō sòaⁿ.
你們有電腦嗎？,恁敢有電腦？,lín kám ū tiān-náu?,lín kám ū tiān-náu?
這是我們這裡的腔調，,這是阮遮的腔口，,"tse sī gún tsia ê khiunn-kháu,","che sī gún chia ê khiuⁿ-kháu,"
結果還是發生了林宅滅門血案，,結果嘛是發生林家滅門血案，,"kiat-kó mā sī huat-sing Lîm--ka bia̍t-bûn hiat-àn,","kiat-kó mā sī hoat-seng Lîm--ka bia̍t-bûn hiat-àn,"
開始準備「做生意」！,開始準備「做生理」！,khai-sí tsún-pī “tsò-sing-lí”!,khai-sí chún-pī“chò-seng-lí”!
還不知羞恥，,閣毋知影見笑，,"koh m̄-tsai-iánn kiàn-siàu,","koh m̄-chai-iáⁿ kiàn-siàu,"
都市鄉下混在一起，,都市庄跤濫濫做一伙，,"too-tshī tsng-kha lām-lām tsò tsi̍t hué,","to͘-chhī chng-kha lām-lām chò chi̍t hóe,"
是，明天差不多有兩百個要來我們學校，你知道嗎？,是，明仔載差不多有兩百个欲來咱學校，你知影無？,"Sī, miâ-á-tsài tsha-put-to ū nn̄g-pah ê lâng beh lâi lán ha̍k-hāu, lí tsai-iánn--bô?","Sī,miâ-á-chài chha-put-to ū nn̄g-pah ê lâng beh lâi lán ha̍k-hāu,lí chai-iáⁿ--bô?"
