中文,台文,台羅
當滾地球形成出局，洋基球員欣喜若狂，全衝到球場中央，王建民也不例外，相互擁抱，慶祝拿下渴望五年的世界大賽總冠軍，然而更瘋狂的還在後頭，洋基休息室裡充滿歡樂的氣氛，王建民沒有上次拿下美聯冠軍慶祝時的害羞，這次他放開拼命玩，畢竟對他來說，從二ＯＯ五年登上大聯盟，拿下世界大賽還是頭一遭，只見他香檳一瓶一瓶的換，大肆慶祝洋基拿下總冠軍，只是開心的背後還是有遺憾，遺憾歸遺憾，談到總冠軍戒指，王建民眼睛一亮，畢竟戴上總冠軍戒指的感覺，對球員來說無可比擬。,當滾地球形成出局，Yankees-球員歡喜痟狂，攏傱到球場中央，王建民⿳ㄨㄢ⿳⿳ㄋㄚˋ無例外，互相相攬，慶祝提下𥍉𥍉夢五年的世界大賽總冠軍，毋久較痟狂的要佇尾後，Yankees歇睏室內充滿歡樂的氣氛，王建民無頂擺提下美聯冠軍慶祝時的歹四，這擺伊放開拚命耍，畢竟對伊來講，對兩千空五年登上大聯盟，提下世界大賽猶是頭一拄，只見伊凶賓一罐一罐的換，大肆慶祝Yankees提下總冠軍，只是歡喜的背後猶是有遺憾，遺憾歸遺憾，談到總冠軍手指，王建民目睭金一下，畢竟掛著總冠軍手指的感覺，對球員來講無可比並，,tng kún-tuē-kiû hîng-sîng tshut-kio̍k，Yankees-kiû-uân huann-hí-siáu-kông，lóng-tsông-kàu kiû-tiûnn tiong-iong，ông-kiàn-bîn uan-ná-bô-lē-guā，hōo-siang-sio-lám，khìng-tsiok the̍h-hā nih-nih-bāng gōo-nî-ê sè-kài-tuā-sài tsóng-kuàn-kun，m̄-kú khah siáu-kông-ê iàu-tī bué-āu，Yankees hioh-khùn-sik lāi tshiong-buán huan-lo̍k-ê khì-hun，ông-kiàn-bîn bô tíng-pái the̍h-hā bí-liân kuàn-kun khìng-tsiok-sî ê pháinn-sì，tsit-pái i pàng-khui piànn-miā-sńg，pit-kìng tuì-i-lâi-kóng，tuì nn̄g-tshing-khòng-gōo-nî ting-siōng tāi-liân-bîng，the̍h-hā sè-kài-tuā-sài iáu-sī thâu-tsi̍t-tú，tsí-kiàn i hiong-pin tsi̍t-kuàn-tsi̍t-kuàn ê uānn，tāi-sù khìng-tsiok Yankees the̍h-hā tsóng-kuàn-kun，tsí-sī huann-hí-ê puè-āu iáu-sī ū-uî-hām，uî-hām-kui-uî-hām，tâm-kàu tsóng-kuàn-kun-tshiú-tsí，ông-kiàn-bîn ba̍k-tsiu-kim-tsi̍t-ē，pit-kìng kuà-tio̍h tsóng-kuàn-kun-tshiú-tsí ê kám-kak，tuì kiû-uân lâi-kóng bû-khó-pí-pīng，
下個球季王建民將成為自由球員，他表示還是希望待在洋基，畢竟隊友都已經很熟悉，也希望球隊延續今年的氣勢，打進季後賽，有機會親自參與世界大賽。,後一下球季王建民將成做自由球員，伊表示猶是希望店佇Yankees，畢竟隊友攏已經真熟似，⿳ㄨㄢ⿳⿳ㄋㄚˋ希望球隊延續今年的氣勢，拍盡貴後婿，有機會親自參與世界大賽。,āu-tsi̍t-ē kiû-kuì ông-kiàn-bîn tsiong-tsiânn-tsò tsū-iû-kiû-uân，i-piáu-sī iáu-sī hi-bōng tiàm-tī Yankees，pit-kìng tuī-iú lóng-í-king tsin-si̍k-sāi，uan-ná-hi-bōng kiû-tuī iân-sio̍k kin-nî-ê khì-sè，phah-tsìn kuì-āu-sài，ū-ki-huē tshin-tsū-tsham-ú sè-kài-tuā-sài。
議員痛批當年台北市府捷運決策官員。Bombardier跟工信工程的結合，早就有議員認為會出狀況，當年工信工程以三百二十八億最低價得標，機電系統只有列了一百四十二億，足足比其他廠商低了四十億以上。,議員痛批當年臺北市府捷運決策官員。Bombardier佮公信工程的結合，早都有議員認為會出狀況，當年公信工程用三百二十八億最低價標著，機電系統干焦列了一百四十二億，足足比其他廠商低了四十億以上。,gī-uân thòng-phe tong-nî tâi-pak-tshī-hú tsia̍t-ūn kuat-tshik kuann-uân. Bombardier kap kong-sìn-kang-tîng ê kiat-ha̍p，tsá-to-ū gī-uân jīn-uî ē-tshut-tsōng-hóng，tong-nî kong-sìn-kang-tîng īng sann-pah jī-tsa̍p-peh ik tsuè-kē-kè pio-tio̍h，ki-tiān hē-thóng kan-na lia̍t-liáu tsi̍t-pah sì-tsa̍p-jī ik，tsiok-tsiok pí-kî-thann tshiúnn-siong kē-liáu sì-tsa̍p ik í-siōng。
台北市市議員簡余晏說工信工程得標有問題，市政府的政風處調查，最後也以有疏失要捷運局改進，不了了之，讓承包商包了土木跟機電工程，市府卻無法事先掌握Bombardier系統狀況，其他的台北市議員也痛批，當年市府決策官員要負責。,臺北市市議員議員簡余晏講，公信工程標就有問題，市政府的政風處調查，上尾⿳ㄨㄢ⿳⿳ㄋㄚˋ以有疏失愛捷運局改進，不了了之，予承包商包了土木佮機電工程，市府煞無法事先掌握Bombardier系統狀況，其他的臺北市議員⿳ㄨㄢ⿳⿳ㄋㄚˋ痛批，當年市府決策官員愛負責。,tâi-pak-tshī-tshī-gī-uân gī-uân kán-î-uànn kóng，kong-sìn-kang-tîng pio-tio̍h ū-būn-tê，tshī-tsìng-hú-ê tsìng-hong-tshù tiau-tsa，siōng-bé uan-ná-í ū-soo-sit ài tsia̍t-ūn-kio̍k kái-tsìn，put-liáu-liáu-tsi，hōo sîng-pau-siong pau-liáu thóo-bo̍k kap ki-tiān-kang-tîng，tshī-hú suah-bô-huat sū-sian tsióng-ak Bombardier hē-thóng tsōng-hóng，kî-thann-ê tâi-pak-tshī-gī-uân uan-ná-thòng-phe，tong-nî tshī-hú kuat-tshik kuann-uân ài-hū-tsik。
試乘內湖線的馬英九，這回出包之後，包括當年決策市府官員，都沒說過一句抱歉。,試濟內湖線的馬英九，這回出包了後，包括當年決策市府官員，攏無講過一句失禮。,tshì-tsē lāi-ôo-suànn ê má-ing-kiú，tsit-huê tshut-pau liáu-āu，pau-kuat tong-nî kuat-tshik tshī-hú kuann-uân，lóng-bô-kóng-kuè tsi̍t-kù sit-lé。
高雄軟體園區打造科技重鎮。因為適用加工出口區的課稅優惠，加上地理環境適中，高雄軟體科技園區逐漸崛起，越來越多的軟體科技業者，選擇進駐高雄市前鎮區這個園區，估計二Ｏ一三年進駐廠商將可達一六Ｏ家，群聚效應帶來的產值可達新台幣六十二億元。,高雄軟體園區打造科技重鎮。因為合用加工出口區的抾稅優惠，加上地理環境拄好，高雄軟體科技園區沓沓ngiauh4-khi2，愈來愈濟的軟體科技業者，選擇進駐高雄市前鎮區這个園區，估計二空一三年進駐廠商將會到一百六十間，群聚效應𤆬來的產值會到新臺票六十二億。,ko-hiông nńg-thé hn̂g-khu tánn-tsō kho-ki tiōng-tìn. in-uī ha̍h-iōng ka-kang-tshut-kháu-khu ê khioh-suè-iu-huī，ka-siōng tē-lí khuân-kíng-tú-hó，ko-hiông nńg-thé kho-ki-hn̂g-khu ta̍uh-ta̍uh ngiauh-khí，lú-lâi-lú-tsuē ê nńg-thé-kho-ki-gia̍p-tsiá，suán-ti̍k tsìn-tsù ko-hiông-tshī tsîng-tìn-khu tsit-ê hn̂g-khu，kóo-kè jī-khòng-it-sann-nî tsìn-tsù tshiúnn-siong tsiong-ē-kàu tsi̍t-pah-la̍k-tsa̍p king，kûn-tsū hāu-ìng tshuā-lâi-ê sán-ta̍t ē-kàu sin-tâi-phiò la̍k-tsa̍p-jī-ik。
在偶像劇加持下，高雄軟體科技園區一夕之間家喻戶曉，它為軟體科技業者提供的優惠措施更是讓廠商選擇進駐的原因，挾著交通和租稅優惠等資源，高雄軟體園區啟用兩年來，已經有七成的廠商進駐，未來這個科技園區，成為另一個結合人文的創新科技研發重鎮，估計到二Ｏ一三年的產值將可達新台幣六十二億，還能帶動南部的產業經濟發展。,佇尪仔極加持下，高雄軟體科技園區一睏仔眾人知，伊為軟體科技業者提供的優惠措施，較是予廠商選擇進駐的原因，含著交通租稅優惠頂資源，高雄軟體園區啟用兩年來，已經有七成的廠商進駐，未來這个科技園區，成做另一个結合人文的科技研發重鎮，估計到二空一三年的產值，將會到新臺票六十二億。猶會帶動南部的產業經濟發展。,tī ang-á-ki̍k ka-tshî-hā，ko-hiông-nńg-thé-kho-ki-hn̂g-khu tsi̍t-khùn-á tsìng-lâng-tsai，i-uī nńg-thé-kho-ki-gia̍p-tsiá thê-kiong-ê iu-huī-tshò-si，khah-sī hōo tshiúnn-siong suán-ti̍k tsìn-tsù-ê guân-in，kânn-tio̍h kau-thong tsoo-suè-iu-huī tíng tsu-guân，ko-hiông nńg-thé-hn̂g-khu khé-iōng nn̄g-nî-lâi，í-king-ū tshit-siânn-ê tshiúnn-siong tsìn-tsù，bī-lâi tsit-ê kho-ki-hn̂g-khu，tsiânn-tsuè līng-tsi̍t-ê kiat-ha̍p jîn-bûn-ê kho-ki-gián-huat tiōng-tìn，kóo-kè-kàu jī-khòng-it-sann-nî ê sán-ta̍t，tsiong-ē-kàu sin-tâi-phiò la̍k-tsa̍p-jī-ik。iáu-ē tài-tōng lâm-pōo-ê sán-gia̍p-king-tsè huat-tián。
世界創造力競賽台灣國中生奪冠軍。「二ＯＯ九第五屆世界創造力博覽會競賽」，在韓國的大田市舉辦，共有台灣、美國、日本、新加坡等，世界各國六十幾隊參賽，其中二位學生，來自高雄市的國中數理資優生，在比賽中抱回冠軍，讓台灣再一次在國際舞台發光。,世界創造力競賽臺灣國中生奪冠軍。兩千空九年世界創造力博覽會競賽，佇韓國的大田市舉辦，總共有臺灣＊美國＊日本＊新加坡，世界各國六十幾隊參賽，其中兩位學生，來自高雄市的國中數理資優生，佇比賽中抱回冠軍，予臺灣閣一擺佇國際舞台發光。,sè-kài tshòng-tsō-li̍k kīng-sài tâi-uân kok-tiong-sing tua̍t kuàn-kuntsū-iû sî-pò pò-tōnn̄g-tshing-khòng-káu-nî sè-kài tshòng-tsō-li̍k phok-lám-huē kīng-sài，tī hân-kok ê tāi-tiân-tshī kí-pān，tsóng-kiōng-ū tâi-uân＊bí-kok＊ji̍t-pún＊sin-ka-pho，sè-kài kok-kok la̍k-tsa̍p kuí-tuī tsham-sài，kî-tiong nn̄g-uī ha̍k-sing，lâi-tsū ko-hiông-tshī ê kok-tiong sòo-lí tsu-iu-sing，tī-pí-sài-tiong phāu-huê kuàn-kun，hōo tâi-uân koh-tsi̍t-pái tī kok-tsè-bú-tâi huat-kng。
需要熟背專業術語，最少要有中高級的檢定程度，語言的問題，是世界創造力競賽的一大挑戰。,需要熟背專業術語，上少著愛有中高級檢定程度，，語言的問題，是世界創造力競賽的一大挑戰。,su-iàu si̍k-puē tsuan-gia̍p su̍t-gí，siōng-tsió tio̍h-ài-ū tiong-ko-kip kiám-tīng thîng-tōo，，gí-giân ê būn-tê，sī sè-kài tshòng-tsō-li̍k kīng-sài ê tsi̍t-tuā-thiau-tsiàn。
二位來自高雄的國中生洪大為、鄭雅云，克服困難，在創意中結合台灣本土文化特色，表演給評審欣賞，最後抱得冠軍獎牌，光榮的回國。,兩位來自高雄的國中生紅代為、捏雅痕，克服困難，佇創意中結合臺灣本土文化特色，表演予評審欣賞，上尾抱著冠軍獎牌，光榮的回國。,nn̄g-uī lâi-tsū ko-hiông ê kok-tiong-sing âng-tāi-uî、tēnn-ngá-hûn，khik-ho̍k khùn-lân，tī-tshòng-ì-tiong kiat-ha̍p tâi-uân-pún-thóo-bûn-huà ti̍k-sik，piáu-ián hōo phîng-sím him-sióng，siōng-bé phāu-tio̍h kuàn-kun tsióng-pâi，kong-îng-ê huê-kok。
大里黃昏市集魚肉海鮮蔬果尚青。台中縣人口最多的大里市，有一個內新黃昏市集，每天下午三、四點以後，一直到傍晚時分總是人聲鼎沸，市場擠滿購物人潮，儘管現在生鮮超市、便利商店林立，但是因為它的貨色齊全，價格便宜，又有不少現成的熟食，因此一直有不少死忠的客源。,大里黃昏市仔魚肉海鮮蔬果上青。臺中縣人口上濟的大里市，有一个內新黃昏市仔，逐工下晡三四點過後，一直到暗頭仔時總是洽洽叫，飼仔內客滿買物仔人潮，儘管這馬先仙超市、便利商店一四界，毋過因為伊的貨色齊全，價數俗，閣有袂少做便的熟菜飯，因此一直有袂少死忠的客源。,tāi-lí hông-hun-tshī-á hî-bah hái-sian soo-kó siōng-tshenn. tâi-tiong-kuān jîn-kháu siōng-tsuē-ê tāi-lí-tshī，ū-tsi̍t-ê lāi-sin-hông-hun-tshī-á，ta̍k-kang ē-poo sann-sì-tiám kuè-āu，it-ti̍t-kàu àm-thâu-á-sî tsóng-sī ka̍p-ka̍p-kiò，tshī-á-lāi kheh-muá bé-mi̍h-á jîn-tiâu，tsīn-kuán tsit-má sing-sian tshiau-tshī、piān-lī-siong-tiàm tsi̍t-sì-kè，m̄-koh in-uī i-ê huè-sik tsiâu-tsn̂g，kè-siàu-sio̍k，koh-ū bē-tsió tsò-piān-ê si̍k-tshài-pn̄g，in-tshú it-ti̍t-ū bē-tsió sí-tiong-ê kheh-guân。
太陽正西下，大里的內新黃昏市場，才正要熱鬧起來，熱鬧喧譁的買賣聲，拉近攤商和顧客的距離，用的、吃的都一樣，老闆俐落的刀法吸引注意，油亮的烤鴨有賣相效果，一盤才一百五十，還要滿足你的胃口，而除了熟食，這裡的海鮮不只比價錢，還得比新鮮。,日頭當落山，大里的內新黃昏市仔，才拄欲鬧熱起來，鬧熱嘩嘩滾的買賣聲，搝近擔仔泛佮人客的距離，用的、食的攏仝款，頭家巧內的刀法吸引注意，油金的熁-矣好袂款效果，一盤才一百五十，要愛滿足你的喙路，搤除了熟菜飯，遮的海鮮毋但比價數，要著比新鮮。,ji̍t-thâu tng-lo̍h-suann，tāi-lí ê lāi-sin hông-hun-tshī-á，tsiah-tú-beh lāu-jia̍t-khí-lâi，lāu-jia̍t huā-huā-kún-ê bé-bē-siann，giú-kīn tànn-á-huàn kap lâng-kheh ê kū-lī，iōng-ê、tsia̍h-ê lóng-kāng-khuán，thâu-ke khiáu-lāi-ê to-huat khip-ín-tsù-ì，iû-kim-ê hannh-0ah hó-bē-khuán hāu-kó，tsi̍t-puânn tsiah tsi̍t-pah-gōo-tsa̍p，iàu-ài buán-tsiok lí-ê tshuì-lōo，iah-tû-liáu si̍k-tshài-pn̄g，tsia-ê hái-sian m̄-nā pí-kè-siàu，iàu-tio̍h pí-sin-sian。
轉個彎看見民眾大排長龍，這一攤有炒麵、炒米粉和油飯任君選擇，渴了這裡有充滿懷念滋味的豆漿，嘴饞的還能吃看看，人氣同樣強強滾的鮮肉包。,轉一个斡看著民眾徛擺長躼躼，這擔有炒麵、炒米麩佮油飯在你選擇，喙焦矣遮有充滿懷念滋味的豆奶，貪食的猶會用食看覓，仝款沖沖滾的仙肉包。,tńg-tsi̍t-ê-uat khuànn-tio̍h bîn-tsiòng khiā-pái-tn̂g-lò-lò，tsit-tànn ū tshá-mī、tshá-bí-hu kap iû-pn̄g tsāi-lí-suán-ti̍k，tshuì-ta-0ah tsia-ū tshiong-buán huâi-liām-tsu-bī ê tāu-ling，tham-tsia̍h-ê iáu-ē-īng tsia̍h-khuànn-māi，kāng-khuán tshiâng-tshiâng-kún ê sian-bah-pau。
儘管便利商店和大賣場，提供許多日常所需，黃昏市場充滿濃濃的人情味，是怎麼樣也無法取代。,儘管便利商店佮大賣場，提供真濟日常所需，黃昏市仔充滿厚絀絀的人情味，是按怎⿳ㄨㄢ⿳⿳ㄋㄚˋ無法度取代。,tsīn-kuán piān-lī-siong-tiàm kap tuā-bē-tiûnn，thê-kiong tsin-tsuē ji̍t-siông-sóo-su，hông-hun-tshī-á tshiong-buán kāu-tut-tut-ê lîn-tsîng-bī，sī-án-tsuánn uan-ná bô-huat-tōo tshú-tāi。
廉價航空推出百萬個免費機位。廉價航空再推促銷活動吸引顧客！,俗價航空推出百萬的免費機位。俗價航空閣推促銷活動吸引人客！,sio̍k-kè-hâng-khong thui-tshut pah-bān-ê bián-huì ki-uī. sio̍k-kè-hâng-khong koh-thui tshiok-siau-ua̍h-tāng khip-ín lâng-kheh！
亞洲航空在十一月十日宣布，提供一百萬個號稱免費的座位，今天起開放預訂，台北飛曼谷單程，只要支付機場稅台幣三百卅元即可。,亞洲航空佇十一月十號宣布，提供一百萬个叫做免費的座位，今仔日起開放奕錠臺北飛曼谷孤逝，只要支付機場稅三百三十箍州會使。,à-tsiu-hâng-khong tī tsa̍p-it-gue̍h tsa̍p-hō suan-pòo，thê-kiong tsi̍t-pah-bān-ê kiò-tsò bián-huì-ê tsō-uī，kin-á-ji̍t khí khai-hòng-ī-tiānntâi-pak-pue-bān-kok koo-tsuā，tsí-iàu tsi-hù ki-tiûnn-suè sann-pah-sann-tsa̍p-khoo tsiu-ē-sái。
亞洲航空表示，這是有史以來最大的免費促銷，活動自十一日凌晨零時起展開，釋出一百萬個免費座位，遍及台灣、中國、泰國等七十個航點，總計超過廿個國家，及一百卅條航線適用，十一日到十五日開放網路訂購，機票有使用的期限，到明年五月一日到十月卅日止。,亞洲航空表示，這是有史以來上大的免費促銷，活動對十一號透早零時起展開，釋出一百萬个免費座位，遍及、臺灣、中國、泰國頂七十个航點，總計超過二十个國家，佮一百三十條航線適用，十一號到十五號開放網路𠕇買，機票有使用的期限，到明年五月初一到十月三十號止。,à-tsiu hâng-khong piáu-sī，tsit-sī iú-sú-í-lâi siōng-tuā-ê bián-huì-tshiok-siau，ua̍h-tāng tuì tsa̍p-it-hō thàu-tsá lîng-sî-khí tián-khui，sik-tshut tsi̍t-pah-bān-ê bián-huì-tsō-uī，piàn-ki̍p、tâi-uân、tiong-kok、thài-kok tíng tshit-tsa̍p-ê hâng-tiám，tsóng-kè tshiau-kuè jī-tsa̍p-ê kok-ka，kap tsi̍t-pah-sann-tsa̍p-tiâu hâng-suànn sik-iōng，tsa̍p-it-hō kàu tsa̍p-gōo-hō khai-hòng bāng-lōo-tīng-bé，ki-phiò ū sú-iōng-ê-kî-hān，kàu mê-nî gōo-gue̍h-tshue-it kàu tsa̍p-gue̍h-sann-tsa̍p-hō tsí。
不過，搭乘廉價航空的託運行李，用餐、喝飲料都要額外付費。,不過坐俗價航空的託運行李，用餐、啉飲料攏愛額外付費。,put-kò tsē sio̍k-kè-hâng-khong ê thok-ūn-hîng-lí，īng-tshan、lim-ím-liāu lóng-ài gia̍h-guā-hù-huì。
甲狀腺風暴誤認是感冒險送命。你能夠想像嗎？,頷胿線風暴誤認是感冒險無命。你會通siong2-siong7-boo3？,ām-kui-suànn-hong-pō gōo-jīn-sī kám-mōo hiám-bô-miā. lí-ē-thang sióng-siōng-bòo？
身體像只可以開時速一百公里的車子，卻突然以二百五十公里時速持續暴衝，導致零件全部耗損報銷，身體器官剎那間像兵敗如山倒！,身體像止會使開時速一百公里的車，煞突然用兩百五十公里時俗暴衝，致使零件全部消磨報銷，身體器官一目𥍉像兵敗如山倒！,sin-thé tshiūnn tsí-ē-sái khui sî-sok tsi̍t-pah-kong-lí ê tshia，suah-tu̍t-jiân īng nn̄g-pah-gōo-tsa̍p-kong-lí sî-sio̍k pō-tshiong，tì-sú lîng-kiānn tsuân-pōo siau-môo pò-siau，sin-thé khì-kuan tsi̍t-ba̍k-nih tshiūnn ping-pāi-jû-suann-tó！
「甲狀腺風暴」就是這樣的疾病，可以輕易奪走一個人的性命。,「頷胿線風暴」就是按呢的症頭，會使輕易奪走一个人會姓命。,「ām-kui-suànn hong-pō」tio̍h-sī án-ne-ê tsìng-thâu，ē-sái khing-ī tua̍t-tsáu tsi̍t-ê-lâng-ē sìng-bīng。
台北縣中和市劉小姐，有甲狀腺亢進而不自知，十月因為感冒後易喘就醫，門診頓時變成急診，住進加護病房後就陷入昏迷，每分鐘心跳達二百下，短短幾分鐘之內就出現心衰竭，急性肝衰竭等症狀，經過醫師的診斷，是死亡率極高的猛爆性疾病「甲狀腺風暴」。,臺北縣中和市劉小姐，有頷胿線炕進搤不自豬，十月因為感冒後𠢕喘就醫，門診一時仔變成急診，蹛進加護病房後都陷落昏迷，每分鐘心跳到兩百會，短短幾分鐘之內都出現心陷挈，急性官衰結等症狀，經過醫生的診斷，是死亡率蓋懸的猛曝還症頭「頷胿線風暴」。,tâi-pak-kuān tiong-hô-tshī lâu-sió-tsiá，ū ām-kui-suànn-khòng-tsìn iah-put-tsū-ti，tsa̍p-gue̍h in-uī kám-mōo-āu gâu-tshuán tsiū-i，mn̂g-tsín tsi̍t-sî-á pìnn-tsiânn kip-tsín，tuà-tsìn ka-hōo-pēnn-pâng āu to hām-lo̍h-hun-bê，muí-hun-tsing sim-thiàu kàu nn̄g-pah-ē，té-té-kuí-hun-tsing tsi-lāi to-tshut-hiān sim-khām-khe̍h，kip-sìng kuann-sue-kiat tíng-tsìng-tsōng，king-kuè i-sing-ê tsín-tuān，sī sí-bông-lu̍t kài-kuân-ê bíng-pho̍k-hîng tsìng-thâu「ām-kui-suànn hong-pō」。
幸運的是，經過近一個月的治療，已經康復出院。,萬幸的是，經過倚一個月的治療，已經康復出院。,bān-hīng-ê-sī，king-kuè uá-tsi̍t-kòo-gue̍h ê tī-liâu，í-king khong-ho̍k-tshut-īnn。
獻唱懷念金曲翁倩玉慈善義演。好久不見的翁倩玉，在長榮集團總裁張榮發的邀請下，十一日晚間和長榮交響樂團舉行慈善義演，除了膾炙人口的台語、日語歌曲。,獻唱懷念金曲翁倩玉慈善義演。真久無看著的翁倩玉，佇長榮逐團總裁張榮發的邀請下，十一號暗時佮長榮交響樂團舉行慈善義演，除了通人知的臺語、日語歌曲。,hiàn tshiùnn huâi-liām kim-khik ong-tshiàn-gio̍k tsû-siān-gī-ián. tsin-kú-bô-khuànn-tio̍h ê ong-tshiàn-gio̍k，tī tióng-îng-tsip-thuân tsóng-tshâi tiunn-îng-huat ê iau-tshiánn-hā，tsa̍p-it-hō àm-sî kap tióng-îng-kau-hiáng-ga̍k-thuân kú-hîng tsû-siān-gī-ián，tû-liáu thong-lâng-tsai ê tâi-gí、ji̍t-gí kua-khik。
讓歌迷們回味，她還特地帶來她的版畫跟歌迷朋友分享。,予歌迷𪜶餾這擺，伊猶專工紮來伊的版畫佮歌迷朋友分享。,hōo kua-bê-in liū-tsit-pái，i iáu tsuan-kang-tsah-lâi i-ê pán-uē kap kua-bê pîng-iú hun-hióng。
除了華語歌，翁倩玉說她的台語也不錯，不信請大家鑑定一下，台語能唱也能說，翁倩玉還以台語跟觀眾分享，這一次演出，全靠坐在台下的長榮集團總裁張榮發。,除了華語歌，翁倩玉講伊的臺語⿳ㄨㄢ⿳⿳ㄋㄚˋ袂䆀，毋信請觸加鑑定一下，臺語會唱⿳ㄨㄢ⿳⿳ㄋㄚˋ會講，翁倩玉猶用臺語佮觀眾分享，這擺演出，攏箍坐佇台跤的長榮逐團總裁張榮發。,tû-liáu huâ-gí-kua，ong-tshiàn-gio̍k kóng i-ê tâi-gí uan-ná bē bái，m̄-sìn tshiánn-tak-ke kàm-tīng-tsi̍t-ē，tâi-gí ē-tshiùnn uan-ná-ē-kóng，ong-tshiàn-gio̍k iáu-īng tâi-gí kap kuan-tsiòng hun-hióng，tsit-pái ián-tshut，lóng-khoo tsē-tī tâi-kha-ê tióng-îng-tsip-thuân tsóng-tshâi tiunn-îng-huat。
除了優美的歌聲，翁倩玉還特地帶來不一樣的表演，她今年入選日展的版畫作品，也讓歌迷見識到，翁倩玉在歌唱以外的藝術成就。,除了優美的歌聲，翁倩玉猶專工紮來伊的無仝款的表演，伊今年逐選逐展的版畫作品，⿳ㄨㄢ⿳⿳ㄋㄚˋ予歌迷見識著，翁倩玉佇歌唱以外的詣屑成就。,tû-liáu iu-bí-ê kua-siann，ong-tshiàn-gio̍k iáu-tsuan-kang tsah-lâi i-ê bô-kāng-khuán-ê piáu-ián，i kin-nî jip-suán jip-tián ê pán-uē tsok-phín，uan-ná-hōo kua-bê kiàn-sik-tio̍h，ong-tshiàn-gio̍k tī kua-tshiùnn í-guā-ê gē-sut sîng-tsiū。
人鳥大戰！農民趕麻雀出奇招。二期稻穀已經接近收割期，不過讓農民頭痛的是，麻雀常常飛到田裡吃稻穀，讓農民損失不少，傳統的稻草人沒用了，現在農民為了趕鳥，不但派人駐守稻田，趕鳥方式更是五花八門。,人鳥大戰農民趕粟鳥仔出奇招。汁月冬已經近倚收冬其，不過予農民頭疼个是，粟鳥仔丟丟飛到田底才粟仔，予農民損失袂少，傳統的稻草人無囉用矣，這馬農民為著趕鳥仔，m1-na7派人自首稻仔田，趕鳥仔方式較是花哩囉，,lâng tsiáu tāi-tsiàn lông-bîn kuánn tshik-tsiáu-á tshut-kî-tsiau. tsap-gue̍h-tang í-king kūn-uá siu-tang-kî，put-kò hōo lông-bîn thâu-thiànn-ê sī，tshik-tsiáu-á tiu-tiu pue-kàu tshân-tué tsiah-tshik-á，hōo lông-bîn sún-sit-bē-tsió，thuân-thóng ê tiū-tsháu-lâng bô-lō-īng-0ah，tsit-má lông-bîn uī-tio̍h kuánn-tsiáu-á，m-nā phài-lâng tsū-siú tiū-á-tshân，kuánn-tsiáu-á hong-sik khah-sī hue-li-lo，
電線桿上一大群的麻雀，全飛到稻田裡，簡直就是吃稻穀吃到飽，只是每天都來吃，實在是讓農民氣炸了，這樣吃下去，遲早會被吃垮，過去的稻草人趕不了麻雀，農民們只好變通，想出新的趕鳥方法。,電火柱頂這大陣的粟鳥仔，攏飛到田底，根本都是才粟仔才到飽，只是觸工攏來食，穡在是予農民氣掣掣，按呢才落去，早慢會被食倒，往嫁的稻草人趕賣了粟鳥仔，農民𪜶只好變通，想出新的趕鳥仔方法，,tiān-hué-thiāu-tíng tsit-tuā-tīn-ê tshik-tsiáu-á，lóng pue-kàu tshân-tué，kin-pún to-sī tsiah-tshik-á tsiah-kàu-pá，tsí-sī tak-kang lóng-lâi-tsia̍h，sit-tsāi-sī hōo lông-bîn khì-tshuah-tshuah，án-ne tsiah-loh-khì，tsá-bān ē-pī-tsia̍h-tó，óng-kè-ê tiū-tsháu-lâng kuánn-bē-liáu tshik-tsiáu-á，lông-bîn-in tsí-hó piàn-thong，siūnn-tshut sin-ê kuánn-tsiáu-á hong-huat，
一整片的稻田上，佈滿塑膠袋、鐵板、旗幟布條，全都是為了趕麻雀，農民更是一早就駐守在稻田旁，就是要防麻雀又來偷吃。,規鉼的田頂，報滿塑膠袋仔、鐵板、旗仔報條，全攏是為著趕粟鳥仔，農民較是透早都自守佇稻仔田邊，都是欲紅粟鳥猶閣來偷遮。,kui-phiánn-ê tshân-tíng，pò-muá sok-ka-tē-á、thih-pán、kî-á pò-liâu，tsuân-lóng-sī uī-tio̍h kuánn-tshik-tsiáu-á，lông-bîn khah-sī thàu-tsá to tsū-siú-tī tiū-á-tshân-pinn，to-sī beh-hông tshik-tsiáu-á koh-lâi thau-tsiah。
聽到這種砲聲，鳥兒不嚇跑才怪，不過看看旁邊這隻麻雀，大剌剌的就停在稻田旁，恐怕這些人鳥大戰，每年都要重演了。,聽著這種砲聲，鳥仔無驚走才怪，不過看覓邊仔這隻粟鳥仔，大四肢的都停佇田邊，恐驚遮的人鳥大戰，每年攏愛重搬矣。,thiann-tio̍h tsit-tsióng phàu-siann，tsiáu-á bô-kiann-tsáu tsiah-kuài，put-kò khuànn-māi pinn-á tsit-tsiah tshik-tsiáu-á，tuā-sù-ki-ê to-thîng-tī tshân-pinn，khióng-kiann tsiah-ê lâng-tsiáu-tāi-tsiàn，muí-nî lóng-ài-tîng-puann-0ah。
