台文,台羅,中文
伊足迷信的，萬項代誌攏愛跋桮問神。,"I tsiok bê-sìn--ê, bān-hāng tāi-tsì lóng ài pua̍h-pue mn̄g sîn. ",他很迷信，每件事情都要擲筊杯求神問卜。
伊閣咧跋牌仔矣，你叫伊好停睏食飯矣。,"I koh teh pua̍h-pâi-á--ah, lí kiò i hó thîng-khùn tsia̍h pn̄g--ah. ",他又在打牌了，你叫他可以休息吃飯了。
干焦有人跋筊了家伙，無人跋筊好額的。,"Kan-na ū lâng pua̍h-kiáu liáu ke-hué, bô lâng pua̍h-kiáu hó-gia̍h--ê. ",只有人賭博把家產賭掉，沒有人因賭博而致富的。
跛跤的,pái-kha--ê,跛腳的人
多謝各位鄉親對我的支持佮愛護。,To-siā kok-uī hiong-tshin tuì guá ê tsi-tshî kah ài-hōo. ,多謝各位鄉親對我的支持和愛護。
這塊餅真酥真好食。,Tsit tè piánn tsin soo tsin hó tsia̍h. ,這塊餅非常酥脆好吃。
看著伊我就規身軀強欲酥去。,Khuànn-tio̍h i guá tō kui-sin-khu kiōng-beh soo--khì. ,看到他我就全身都要酥掉了。
海水不可斗量,hái-suí put khó tóo liông,海水不可斗量
重質不重量。,Tiōng tsit put tiōng liōng. ,重質不重量。
伊真有囡仔量。,I tsin ū gín-á liōng. ,他很有小孩量。指對小孩子的無理行為能夠容忍。
量看偌長。,Niû khuànn guā tn̂g. ,量看看有多長。
量體溫,niû thé-un,量體溫
提量仔來量看豬仔有偌重。,The̍h niū-á lâi niū khuànn ti-á ū guā tāng. ,拿大秤來秤秤看豬有多重。
提量仔量看咧。,The̍h niū-á niū khuànn--leh. ,拿秤來量量看。
司公鈃,sai-kong-giang,道士所用的小搖鈴
電話鈃足濟聲矣。,Tiān-uē giang tsiok tsē siann--ah. ,電話響很多聲了。
刀仔鈍去矣，提去磨磨咧。,"To-á tun--khì--ah, the̍h-khì buâ-buâ--leh. ",刀子變鈍了，拿去磨一磨。
頭昏昏，腦鈍鈍。,"Thâu hun-hun, náu tùn-tùn. ",頭昏腦脹。
你遮爾鈍，欲按怎做生理？,"Lí tsiah-nī tūn, beh án-tsuánn tsò-sing-lí? ",你這麼笨拙，要怎麼做生意？
鈕仔,liú-á,鈕扣
屜鈕,thuah-liú,抽屜勾鎖、把手
鈕衫,liú sann,扣上衣扣
秤鈕,tshìn-liú,秤鈕
這領衫有三鈕鈕仔。,Tsit niá sann ū sann liú liú-á. ,這件衣服有三顆鈕扣。
一鈕仔囝,tsi̍t-liú-á-kiánn,一小顆
錢莫烏白開。,Tsînn mài oo-pe̍h khai. ,錢不要隨便花用。
花開富貴,hua khai hù-kuì,花開富貴
開張,khai-tiong,開張
開墾,khai-khún,開墾
開門,khui mn̂g,開門
開罐頭,khui kuàn-thâu,開罐頭
花開矣,hue khui--ah,花開了
我的心肝放袂開。,Guá ê sim-kuann pàng bē khui. ,我的心情放不開。
門開袂開,mn̂g khui bē khui,門打不開
開藥方,khui io̍h-hng,開藥方
開單,khui tuann,開單
一人開三百就有夠矣。,Tsi̍t lâng khui sann-pah tō ū-kàu--ah. ,一人分攤三百就夠了。
徛較開咧,khiā khah khui--leh,站開一點
開車,khui-tshia,開車
三年一閏，好歹照輪。,"Sann nî tsi̍t jūn, hó-pháinn tsiàu lûn. ",農曆大約三年閏年一次，引申為風水輪流轉。
食飽傷閒,tsia̍h pá siunn îng,吃飽太閒沒事幹
食閒飯,tsia̍h îng pn̄g,吃閒飯
朋友之間愛重義氣。,Pîng-iú tsi-kan ài tiōng gī-khì. ,朋友之間要重義氣。
人間,jîn-kan,人間
陽間,iông-kan,人世
世間,sè-kan,世間
兩年間伊攏全勤。,Nn̄g nî kan i lóng tsuân-khîn. ,兩年間他從不缺席。
食飯間,tsia̍h-pn̄g-king,飯廳
洗身軀間,sé-sin-khu-king,浴室
兩間房間,nn̄g king pâng-king,兩間房間
陰陽兩極,im-iông lióng ki̍k,陰陽兩極
排隊,pâi-tuī,排隊
車隊,tshia-tuī,車隊
一隊人馬,tsi̍t tuī jîn-má,一隊人馬
樂隊,ga̍k-tuī,樂隊
消防隊,siau-hông-tuī,消防隊
頭家欲揣人開刀，你愛較細膩咧。,"Thâu-ke beh tshuē lâng khui-to, lí ài khah sè-jī--leh. ",老闆要找人開刀，你要小心一點。
會得開刀，袂得入鞘。,"Ē tit khui-to, bē tit ji̍p siù. ",會拔刀，不會入鞘。比喻引起了事端卻無法善後。
伊逐工食飽睏，睏飽食，真正是一个閒人。,"I ta̍k kang tsia̍h-pá khùn, khùn-pá tsia̍h, tsin-tsiànn sī tsi̍t ê îng-lâng. ",他整天吃飽睡，睡飽吃，真的是一個閒人。
阮的代誌，毋免你這个閒人來管。,"Guán ê tāi-tsì, m̄-bián lí tsit ê îng-lâng lâi kuán. ",我們的事情，不用你這個閒雜人來管。
開口借錢,khai-kháu tsioh-tsînn,開口借錢
你若有閒工，就來共我鬥相共。,"Lí nā ū îng-kang, tō lâi kā guá tàu-sann-kāng. ",你如果有閒工夫，就來幫我的忙。
秤豬公著愛用量仔。,Tshìn ti-kong tio̍h-ài iōng niū-á. ,秤豬公得要用大秤。
鈕鈕仔,liú liú-á,扣鈕扣
無愛挃的物件暫時囥佇間仔。,Bô-ài ti̍h ê mi̍h-kiānn tsiām-sî khǹg tī king-á. ,不要的東西暫時放在小屋子。
伊退休了後規日閒仙仙，定定四界去遊山玩水。,"I thè-hiu liáu-āu kui ji̍t îng-sian-sian, tiānn-tiānn sì-kè khì iû san uán suí. ",他退休後整天閒著沒事幹，經常到處去遊山玩水。
你莫佇人的尻川後，講人的閒仔話。,"Lí mài tī lâng ê kha-tshng-āu, kóng lâng ê îng-á-uē. ",你別在別人的背後，說人家的閒話。
彼間新的賣場當時欲開市？,Hit king sin ê bē-tiûnn tang-sî beh khui-tshī? ,那家新的賣場何時會開始營業？
伊逐月日攏提一寡仔錢予𪜶老爸開用。,I ta̍k gue̍h-ji̍t lóng the̍h tsi̍t-kuá-á tsînn hōo in lāu-pē khai-īng. ,他每個月都拿一點錢給他老爸花用。
開車愛專心。,Khui-tshia ài tsuan-sim. ,開車要專心。
較緊咧啦！欲開車矣。,Khah-kín--leh--lah! Beh khui-tshia--ah. ,快一點啦！要開車了。
你量其約報一个價予我。,Lí liōng-kî-iok pò tsi̍t ê kè hōo--guá. ,你報一個大概的價格給我。
這件代誌就予你去共伊開拆一下。,Tsit kiānn tāi-tsì tō hōo lí khì kā i khui-thiah--tsi̍t-ē. ,這件事就由你去跟他解釋說明一下。
好好的代誌予你舞甲開花去。,Hó-hó ê tāi-tsì hōo lí bú kah khui-hue--khì. ,好好的一件事被你搞砸了。
阮阿兄娶某的時陣，阮兜是家己開桌請人。,"Guán a-hiann tshuā-bóo ê sî-tsūn, guán tau sī ka-kī khui-toh tshiánn--lâng. ",我哥哥娶老婆的時候，我們家是自個兒擺桌設宴請客人。
明仔暗七點欲開桌，你毋通傷晏到。,"Bîn-á-àm tshit tiám beh khui-toh, lí m̄-thang siunn uànn kàu. ",明晚七點宴席開始，你不要太晚到。
這道理較深，你就勻勻仔共伊開破。,"Tse tō-lí khah tshim, lí tō ûn-ûn-á kā-i khui-phuà. ",這道理比較難，你就慢慢開導他。
阮的祖先是三百外年前來臺灣開基的。,Guán ê tsóo-sian sī sann-pah guā nî tsîng lâi Tâi-uân khai-ki--ê. ,我們的祖先是三百多年前來臺灣開基的。
伊都開喙咧講矣，咱就照伊的意思去做好矣。,"I to khui-tshuì leh kóng--ah, lán tō tsiàu i ê ì-sù khì tsò hó--ah. ",他都開口說了，我們就照他的意思去做好了。
伊開喙五萬箍，我嫌傷貴無共伊買。,"I khui-tshuì gōo-bān khoo, guá hiâm siunn kuì bô kā i bé. ",他開價五萬元，我嫌太貴沒有跟他買。
你去共門開開。,Lí khì kā mn̂g khui--khui. ,你去將門打開。
喙開開,tshuì khui-khui,張著嘴巴
你是家己開業抑是予人倩？,Lí sī ka-kī khai-gia̍p ia̍h-sī hōo lâng tshiànn? ,你是自己開業還是受僱於別人？
我趕路趕甲強欲酥腰去矣。,Guá kuánn-lōo kuánn kah kiōng-beh soo-io--khì--ah. ,趕路趕到腰快散了。
這間百貨公司十點欲開幕。,Tsit king pah-huè kong-si tsa̍p tiám beh khui-bōo. ,這家百貨公司十點要開幕。
你這個月的開銷有較濟。,Lí tsit kò gue̍h ê khai-siau ū khah tsē. ,你這個月的開銷比較多。
開錢若開水。,Khai-tsînn ná khai tsuí. ,揮金如土。
伊本來食菜，最近決定欲開臊。,"I pún-lâi tsia̍h-tshài, tsuè-kīn kuat-tīng beh khui-tsho. ",他原本吃素，最近決定要開葷。
嬰仔四月日開臊。,Enn-á sì gue̍h-ji̍t khui-tsho. ,嬰兒四個月開葷。
閒閒咧開講,îng-îng teh khai-káng,閒來無事在聊天
逐禮拜五暗時七點，伊準時佇遮開講。,"Ta̍k lé-pài gōo àm-sî tshit tiám, i tsún-sî tī tsia khai-káng. ",每週五晚上七點，他準時在這裡演講。
這个所在誠開闊。,Tsit ê sóo-tsāi tsiânn khui-khuah. ,這個地方很寬闊。
心肝開闊,sim-kuann khui-khuah,心胸開闊有度量
雙雁影,siang gān iánn,歌曲名
鴨雄,ah-hîng,小公鴨
牛雄,gû-hîng,小公牛
雞卵愛有雄提去孵才孵會出來。,Ke-nn̄g ài ū-hîng the̍h khì pū tsiah pū ē tshut--lâi. ,有受精的雞蛋拿去孵才孵得出來。
雄性,hiông-sìng,雄性
你的心肝哪會遮雄？,Lí ê sim-kuann ná ē tsiah hiông? ,你的心怎麼會這麼狠？
莫食遐雄，對胃無好。,"Mài tsia̍h hiah hiông, tuì uī bô hó. ",不要吃得那麼猛，對胃不好。
欲開始表演矣，逐家攏集倚過來。,"Beh khai-sí piáu-ián--ah, ta̍k-ke lóng tsi̍p-uá--kuè-lâi. ",要開始表演了，大家都聚集過來。
第五集,tē-gōo tsi̍p,第五集
烏雲,oo-hûn,烏雲
這塊肉真韌。,Tsit tè bah tsin jūn. ,這塊肉很有韌性。
一項代誌,tsi̍t hāng tāi-tsì,一件事情
順人的意,sūn lâng ê ì,順人心意
你順這條路直直去，就會看著車站矣。,"Lí sūn tsit tiâu lōo ti̍t-ti̍t khì, tō ē khuànn-tio̍h tshia-tsām--ah. ",你順著這條路直直走，就可以看到車站了。
伊開車開甲足順的。,I khui-tshia khui kah tsiok sūn--ê. ,他開車開得很順。
順行,sūn-kiânn,慢走。送別時的客套話。
食甲會飫,tsia̍h kah ē uì,吃到會怕
飫飫,uì-uì,覺得有點膩
白飯,pe̍h-pn̄g,白米飯
食飯,tsia̍h-pn̄g,吃飯
飲料,ím-liāu,飲料
飲食,ím-si̍t,飲食
這粒檨仔黃矣，會使食矣。,"Tsit lia̍p suāinn-á n̂g--ah, ē-sái tsia̍h--ah. ",這顆芒果變黃了，可以吃了。
集中管理,tsi̍p-tiong kuán-lí,集中管理
警察佇戲院門口掠著黃牛。,Kíng-tshat tī hì-īnn mn̂g-kháu lia̍h-tio̍h n̂g-gû. ,警察在電影院門口抓到黃牛。
你明仔載欲紮飯包無？,Lí bîn-á-tsài beh tsah pn̄g-pau--bô? ,你明天要帶便當嗎？
咱明仔載六點佇車頭集合。,Lán bîn-á-tsài la̍k tiám tī tshia-thâu tsi̍p-ha̍p. ,我們明天六點在車站集合。
黃色電影,n̂g-sik tiān-iánn,色情電影
代誌辦甲真順利。,Tāi-tsì pān kah tsin sūn-lī. ,事情處理得很順利。
代誌做了真順序。,Tāi-tsì tsò liáu tsin sūn-sī. ,事情做得很順利。
飯坩提去洗洗咧。,Pn̄g-khann the̍h khì sé-sé--leh. ,飯鍋拿去洗一洗。
黃昏不殺雞。,Hông-hun put sat ke. ,黃昏以後不殺雞。因俗以為日落後殺雞，將使該雞死後不能投胎轉世。
伊踏著黃金矣。,I ta̍h-tio̍h n̂g-kim--ah. ,他踩到大便了。
代誌已經進行到咧欲收尾的階段矣。,Tāi-tsì í-king tsìn-hîng kàu teh-beh siu-bué ê kai-tuānn--ah. ,事情已經進行到要收尾的階段了。
祝你一路順風。,Tsiok lí tsi̍t-lōo sūn-hong. ,祝你一路順風。
人講順風就好駛船。,Lâng kóng sūn-hong tō hó sái-tsûn. ,人家說順著風勢船就會好駛。比喻一切稱心如意。
伊的穿插誠雅氣。,I ê tshīng-tshah tsiânn ngá-khì. ,她的穿著很高尚。
中產階級,tiong-sán kai-kip,中產階級
伊順從爸母的意思，出國讀冊。,"I sūn-tsiông pē-bú ê ì-sù, tshut-kok tha̍k-tsheh. ",他依從父母的意思，出國唸書。
連遮爾簡單的代誌你都做袂好，真正有夠飯桶。,"Liân tsiah-nī kán-tan ê tāi-tsì lí to tsò bē hó, tsin-tsiànn ū-kàu pn̄g-tháng. ",連這麼簡單的事你都做不好，真的很笨。
彼个查某囡仔，我看著誠順眼。,"Hit ê tsa-bóo gín-á, guá khuànn tio̍h tsiânn sūn-gán. ",那個女孩子，我看起來很合意。
你若欲去買菜，順紲去共我納電火錢。,"Lí nā beh khì bé tshài, sūn-suà khì kā guá la̍p tiān-hué tsînn. ",你如果要去買菜，順便幫我繳電費。
你毋通閣提雞卵糕來，我已經飫喙矣。,"Lí m̄-thang koh the̍h ke-nn̄g-ko lâi, guá í-king uì-tshuì--ah. ",你不要再拿蛋糕來，我已經吃膩了。
我來去攢飯菜。,Guá lâi-khì tshuân pn̄g-tshài. ,我去準備食物。
你叫做啥物名，我雄雄煞袂記得。,"Lí kiò-tsò siánn-mih miâ, guá hiông-hiông suah bē-kì--tit. ",你叫做什麼名字，我一時間想不起來。
一張紙飛過來，伊出手順勢共伊接咧。,"Tsi̍t tiunn tsuá pue--kuè-lâi, i tshut-tshiú sūn-sè kā i tsiap--leh. ",一張紙飛過來，他順手接住它。
今仔日有人客欲來，你愛準備六塊飯碗才有夠。,"Kin-á-ji̍t ū lâng-kheh beh lâi, lí ài tsún-pī la̍k tè pn̄g-uánn tsiah ū-kàu. ",今天有客人要來，你要準備六個碗才夠。
伊偷用公家的錢予頭家發現，就按呢摃破家己的飯碗。,"I thau iōng kong-ka ê tsînn hōo thâu-ke huat-hiān, tsiū-án-ne kòng-phuà ka-kī ê pn̄g-uánn. ",他挪用公款被老闆發現，就此丟了工作。
你順路送伊轉去。,Lí sūn-lōo sàng i tńg--khì. ,你順道送她回去。
彼个囡仔黃酸黃酸，敢若飼袂啥會大漢。,"Hit ê gín-á n̂g-sng-n̂g-sng, kánn-ná tshī bē siánn ē tuā-hàn. ",那個小孩面黃肌瘦，好像養不大。
彼欉樹仔花開甲黃錦錦。,Hit tsâng tshiū-á hue khui kah n̂g-gìm-gìm. ,那棵樹的花開得黃橙橙的。
古早人煮飯攏用飯篱撈飯。,Kóo-tsá lâng tsú pn̄g lóng īng pn̄g-lē hôo pn̄g. ,以前的人煮飯都用笊篱撈飯。
彼箍做代誌真頇顢。,Hit khoo tsò tāi-tsì tsin hân-bān. ,那個人做事情很笨拙。
這馬的社會真亂。,Tsit-má ê siā-huē tsin luān. ,現在的社會很亂。
這个囡仔真𠢕亂。,Tsit ê gín-á tsin gâu luān. ,這個孩子很會鬧。
莫共我亂,mài kā guá luān,不要煩我
我共伊催幾若擺，伊就是毋還錢。,"Guá kā i tshui kuí-nā pái, i tō sī m̄ hîng-tsînn. ",我向他討了好幾次，他就是不還錢。
催油,tshui-iû,踩油門加速
你咧傱啥物？,Lí teh tsông siánn-mih? ,你在奔忙什麼？
傱來傱去,tsông lâi tsông khì,跑來跑去
傱錢,tsông-tsînn,為籌錢而奔忙
傱便所,tsông piān-sóo,跑廁所
傳種,thn̂g-tsíng,一代代接續生存下去
傳後嗣,thn̂g-hiō-sū,傳宗接代
傳著𪜶老爸。,Thn̂g-tio̍h in lāu-pē. ,遺傳到他爸爸。
傳香火,thuân hiunn-hué,延續香火
傳染,thuân-jiám,傳染
宣傳,suan-thuân,宣傳
傳話,thuân-uē,傳話
傳命令,thuân bīng-līng,傳命令
負債,hū-tsè,負債
會做爸囝是相欠債。,Ē tsò pē-kiánn sī sio-khiàm-tsè. ,今生父子前世因。
驗傷,giām-siong,驗傷
重傷,tāng-siong,重傷
食酒傷肝,tsia̍h tsiú siong kuann,喝酒傷肝
你講話傷過份。,Lí kóng-uē siunn kuè-hūn. ,你說話太過分。
傷鹹,siunn kiâm,太鹹
剷草,thuánn-tsháu,鋤草
剺腹肚,le̍h pak-tóo,畫破肚皮
剺皮,le̍h phuê,皮用刀輕畫一下
柚仔先剺才剝皮。,Iū-á sing le̍h tsiah pak-phuê. ,柚子要先劃一下再剝皮。
予刀仔割一剺。,Hōo to-á kuah tsi̍t le̍h. ,被刀畫一痕。
剺紙,lì tsuá,撕紙
剺鰇魚,lì jiû-hî,撕魷魚
剾菜瓜,khau tshài-kue,削絲瓜皮
感冒猶未好，毋通出去剾風。,"Kám-mōo iáu-buē hó, m̄-thang tshut-khì khau-hong. ",感冒還沒好，不要出去吹風。
伊真𠢕共人剾。,I tsin gâu kā lâng khau. ,他很會譏諷人家。
規庄予人剿了了。,Kui tsng hōo lâng tsâu-liáu-liáu. ,全村都被殺光光。
募款,bōo khuán,募款
招募,tsiau-bōo,招募
山勢,suann-sè,山勢
局勢,kio̍k-sè,局勢
範勢,pān-sè,局面
有錢有勢,ū-tsînn ū-sè,有錢有勢
靠勢,khò-sè,仗勢、自信
共你辦好勢矣。,Kā lí pān hó-sè--ah. ,幫你處理好了。
手勢,tshiú-sè,手勢
歹勢,pháinn-sè,不好意思
角勢,kak-sì,方位
伊真勥，逐家攏真呵咾。,"I tsin khiàng, ta̍k-ke lóng tsin o-ló. ",她很能幹，大家都很稱讚她。
我下晡會共錢匯入去你的戶頭。,Guá ē-poo ē kā tsînn huē ji̍p-khì lí ê hōo-thâu. ,我下午會把錢匯進你的戶頭。
伊一頓嗄四、五碗。,"I tsi̍t tǹg sà sì, gōo uánn. ",他一頓吃四、五碗。
伊的勢力誠大。,I ê sè-li̍k tsiânn tuā. ,他的權勢很大。
人都已經死去矣，你莫閣傷心矣。,"Lâng to í-king sí--khì--ah, lí mài koh siong-sim--ah. ",人都已經死了，你就別再傷心了。
這款傷天害理的代誌，你曷敢做？,"Tsit khuán siong-thian-hāi-lí ê tāi-tsì, lí a̍h kánn tsò? ",這種違背天理的事，你也敢做？
伊欠人誠濟錢，不時有債主來𪜶兜討錢。,"I khiàm lâng tsiânn tsē tsînn, put-sî ū tsè-tsú lâi in tau thó-tsînn. ",他欠人家很多錢，經常有債主來他家討債。
印彩色的加真傷本，印烏白的就好。,"Ìn tshái-sik--ê ke tsin siong-pún, ìn oo-pe̍h--ê tō hó. ",印彩色的成本會較高，黑白的就好。
亂使講,luān-sú kóng,亂說
亂使食,luān-sú tsia̍h,亂吃
𪜶老爸若佇咧，伊就毋敢亂來！,"In lāu-pē nā tī--leh, i tō m̄-kánn luān-lâi! ",如果他老爸在，他就不敢胡作非為！
伊真𠢕共人剾削。,I tsin gâu kā lâng khau-siah. ,他很會譏諷別人。
伊講遐的話是咧共你剾洗。,I kóng hia-ê uē sī leh kā lí khau-sé. ,他講那些話是在挖苦你。
伊佇外位讀冊，所費一定較傷重。,"I tī guā-uī tha̍k-tsheh, sóo-huì it-tīng khah siong-tiōng. ",他在外地讀書，花費一定比較高。
伊病甲真傷重，這馬猶蹛佇加護病房。,"I pēnn kah tsin siong-tiōng, tsit-má iáu tuà tī ka-hōo pēnn-pâng. ",他病得很嚴重，現在還住在加護病房。
你寒著才好爾爾，毋通出去外口剾風。,"Lí kuânn--tio̍h tsiah hó niā-niā, m̄-thang tshut-khì guā-kháu khau-hong. ",你感冒才剛好而已，不要又去外面吹風。
看這个勢面，伊欲贏就愛誠拚咧。,"Khuànn tsit ê sè-bīn, i beh iânn tō ài tsiânn piànn--leh. ",看這個情勢，他想贏就得拚命才行。
彼張紙予我剺破去矣。,Hit tiunn tsuá hōo guá lì-phuà--khì--ah. ,那張紙被我撕破了。
伊不時為著工作的問題咧傷腦筋。,I put-sî uī tio̍h kang-tsok ê būn-tê teh siong-náu-kin. ,他經常為工作的問題在傷腦筋。
阿嬌𪜶大漢新婦誠勥跤。,A-kiau in tuā-hàn sin-pū tsiânn khiàng-kha. ,阿嬌她大媳婦很精明能幹。
伊一世人勤儉，食老日子才會遮好過。," I tsi̍t-sì-lâng khîn-khiām, tsia̍h-lāu ji̍t-tsí tsiah ē tsiah hó kuè. ",他勤儉一輩子，現在老了日子才會這麼好過。
食肉食三層，看戲看亂彈。,"Tsia̍h bah tsia̍h sam-tsân, khuànn hì khuànn lān-thân. ",吃肉吃五花肉，看戲看亂彈戲。這是指內行人才懂的享受。
你的房間哪會亂操操？,Lí ê pâng-king ná ē luān-tshau-tshau? ,你的房間怎麼這麼亂？
這馬我心肝亂操操。,Tsit-má guá sim-kuann luān-tshau-tshau. ,現在我心情煩躁。
伊欠人一筆數，這馬才咧四界傱錢。,"I khiàm lâng tsi̍t pit siàu, tsit-má tsiah teh sì-kè tsông-tsînn. ",他欠人家一筆錢，現在才在到處籌錢。
無，你這馬是倚靠啥人的勢頭？敢侵門踏戶來亂？,"Bô, lí tsit-má sī uá-khò siánn-lâng ê sè-thâu? Kánn tshim mn̂g ta̍h hōo lâi luān? ",你這會兒是仗了誰的權勢來著？竟敢上門來鬧事？
飯會使烏白食，話毋通亂講！,"Pn̄g ē-sái oo-pe̍h tsia̍h, uē m̄-thang luān-kóng! ",飯可以隨便吃，話不要胡說！
你若無做彼款顧人怨的代誌就袂予人嗙。,Lí nā bô tsò hit khuán kòo-lâng-uàn ê tāi-tsì tō bē hōo lâng phngh. ,你如果沒做那討人厭的事就不會被大聲責罵。
蠓仔佇耳空邊嗚嗚叫。,Báng-á tī hīnn-khang-pinn onn-onn-kiò. ,蚊子在耳邊嗡嗡叫。
花園,hue-hn̂g,花園
菜園,tshài-hn̂g,菜園
田比園較貴。,Tshân pí hn̂g khah kuì. ,水田比旱田貴。
畫一个圓箍仔,uē tsi̍t ê înn-khoo-á,畫一個圓圈
我的面較圓。,Guá ê bīn khah înn. ,我的臉比較圓。
這領褲幾圓？,Tsit niá khòo kuí înn? ,這條褲子多少錢？
一塊糖仔,tsi̍t tè thn̂g-á,一塊糖
一塊歌,tsi̍t tè kua,一首歌
一塊椅仔,tsi̍t tè í-á,一張椅子
目睭塌落,ba̍k-tsiu thap--lo̍h,眼睛凹陷
塌本,thap-pún,賠本
相塌,sio-thap,截長補短
兩頂帽仔塌做伙。,Nn̄g tíng bō-á thap tsò-hué. ,兩頂帽子疊在一起。
燈塔,ting-thah,燈塔
尖塔,tsiam thah,尖塔
塗沙,thôo-sua,泥沙
塗炭,thôo-thuànn,煤炭
塗州,thôo-tsiu ,黃泉
塗空,thôo-khang,地洞
這聲真正是塗塗塗。,Tsit-siann tsin-tsiànn sī thôo-thôo-thôo. ,這下子真的是一團糟了。
塗去矣,thôo--khì--ah,完蛋了、糟糕了
塚仔埔,thióng-á-poo,墳場
公塚,kong thióng,公墓
塞鼻,sat-phīnn,鼻塞
塞甲密密密,sat kah ba̍t-ba̍t-ba̍t,塞得水洩不通
填落海,thiām lo̍h hái,沉入海
汫水塭,tsiánn-tsuí ùn,淡水養殖魚池
洘塭,khó ùn,抽乾池水
伊是做塗水的。,I sī tsò-thôo-tsuí--ê. ,他是個泥水匠。
伊自做生理到今一直咧塌本。,I tsū tsò-sing-lí kàu-tann it-ti̍t teh thap-pún. ,他自從做生意到現在就一直賠本。
這个生理按呢一直填本，欲哪會用得？,"Tsit ê sing-lí án-ne it-ti̍t thiām-pún, beh ná ē-īng--tit? ",這個生意這樣一直投注本錢，怎麼可以？
嗚呼哀哉,oo-hoo--ai--tsai,表示哀悼的感嘆詞
一命嗚呼,tsi̍t miā oo-hoo,死掉了、沒命了
伊彼雙鞋穿甲塌底才擲掉。,I hit siang ê tshīng kah lap-té tsiah tàn-tiāu. ,他那雙鞋子穿到脫底了才丟掉。
用塌空的題型來測驗學生的語詞。,Iōng thap-khang ê tê-hîng lâi tshik-giām ha̍k-sing ê gí-sû. ,用填空題來測驗學生的語詞。
這條路塌空的所在真濟。,Tsit tiâu lōo thap-khang ê sóo-tsāi tsin tsē. ,這條路凹陷處真多。
較早真濟人用塗炭燃火。,Khah-tsá tsin tsē lâng iōng thôo-thuànn hiânn-hué. ,以前有很多人燒煤炭。
草蓆仔頂的塗粉拭拭咧才去睏。,Tsháu-tshio̍h-á tíng ê thôo-hún tshit-tshit--leh tsiah khì khùn. ,草蓆上的灰塵擦一擦再上去睡覺。
伊瘦甲目睭塌落矣。,I sán kah ba̍k-tsiu lap--lo̍h--ah. ,他瘦到眼睛凹陷了。
奕牌仔欠一跤，緊揣恁阿姨來塌跤。,"Ī pâi-á khiàm tsi̍t kha, kín tshuē lín a-î lâi thap-kha. ",玩牌還少一個人，快找你阿姨來補缺。
你的物件落佇塗跤矣。,Lí ê mi̍h-kiānn lak tī thôo-kha--ah.,你的東西掉在地上了。
這改的婚禮辦了真圓滿。,Tsit kái ê hun-lé pān liáu tsin uân-buán. ,這次的婚禮辦得很圓滿。
畫圓箍仔,uē înn-khoo-á,畫圓圈
𪜶嗤舞嗤呲佇遐咧講人的歹話。,In tshi-bú-tshi̍h-tshū tī hia teh kóng lâng ê pháinn-uē. ,他們小小聲的在那裡說別人的壞話。
做生理一直塌錢，規氣收收起來。,"Tsò-sing-lí it-ti̍t thap-tsînn, kui-khì siu-siu--khí-lâi. ",做生意一直貼錢，乾脆結束吧。
阿媽,a-má,指外婆或奶奶
內媽,lāi-má,奶奶
七娘媽,Tshit-niû-má,七星娘娘
觀音媽,Kuan-im-má,觀音娘娘
先生媽,sian-sinn-má,女醫生
阿娥後禮拜欲嫁去苗栗矣！,A-ngôo āu lé-pài beh kè khì Biâu-li̍k--ah! ,阿娥下禮拜要嫁到苗栗去了！
兄嫂,hiann-só,兄嫂
阿嫂,a-só,嫂嫂
嫂仔,só--á,嫂子
伊嫌𪜶翁頇顢講話。,I hiâm in ang hân-bān kóng-uē. ,她嫌她老公不會說話。
幌頭,hàinn-thâu,搖頭
幌索仔,hàinn soh-á,盪繩子
幌韆鞦,hàinn-tshian-tshiu,盪鞦韆
嫁翁是一世人的代誌，你著毋通凊彩。,"Kè-ang sī tsi̍t-sì-lâng ê tāi-tsì, lí tio̍h m̄-thang tshìn-tshái. ",嫁人是一輩子的事，你可別隨便。
佇代誌猶未查清楚進前，咱逐家攏有嫌疑。,"Tī tāi-tsì iáu-buē tshâ tshing-tshó tsìn-tsîng, lán ta̍k-ke lóng ū hiâm-gî. ",在事情還沒查清楚之前，我們每個人都有嫌疑。
閣來一罐幌頭仔。,Koh lâi tsi̍t kuàn hàinn-thâu-á. ,再來一罐米酒。
囡仔人愛幌韆鞦。,Gín-á-lâng ài hàinn-tshian-tshiu. ,小孩子喜歡盪鞦韆。
幹道,kàn-tō,主要道路
總幹事,tsóng-kàn-sū,總幹事
才幹,tsâi-kàn,才幹
空思夢想,khong-su-bōng-sióng,空思夢想
伊閣咧想伊的未婚妻矣。,I koh teh siūnn i ê bī-hun-tshe--ah. ,他又在想念他的未婚妻了。
你莫烏白想矣，伊根本都無彼个意思。,"Lí mài oo-pe̍h siūnn--ah, i kin-pún to bô hit ê ì-sù. ",你別亂想了，他根本沒那個意思。
數想,siàu-siūnn,妄想
惹代誌,jiá tāi-tsì,招惹事情，帶來麻煩。
你莫惹我受氣。,Lí mài jiá guá siū-khì. ,你別惹我生氣。
憂愁,iu-tshiû,憂愁
伊愈看愈媠。,I jú khuànn jú suí. ,她愈看愈美。
若按呢愈好。,Nā án-ne jú hó. ,如果這樣更好。
